,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,518,-,-,
3,Status,2.01,native,-,-,
4,Range: 3. continents where native,2.11,Asia,-,-,
5,Range: 3. continents where native,2.11,Europe,-,-,
6,Range: 4. continents where introduced,2.12,North America,-,-,
7,SN Index,2.13,7.38,-,-,
8,EW Index,2.14,1.82,-,-,
9,number of European countries in which native,2.17,11,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,120,-,-,
13,Height: 4. typical minimum (cm),3.06,60,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cordate,-,-,
21,Leaf shape: 5. leaf base,3.13,rounded,-,-,
22,Leaf shape: 5. leaf base,3.13,truncate,-,-,
23,Leaf shape: 6. petiole,3.14,petiolate,-,-,
24,Leaf area (cm2),3.17,100-1000,-,-,
25,Photosynthetic pathway,4.02,C3,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,hemicryptophyte,-,-,
30,Longevity of stems (yrs),5.02,<1,-,-,
31,Flowering time: 1. earliest month,5.07,6,-,-,
32,Flowering time: 2. latest month,5.08,7,-,-,
33,Pollen vector,5.15,wind,-,-,
34,Dicliny,5.16,gynomonoecious,,-,
35,Dicliny,5.16,hermaphrodite,-,-,
36,Dichogamy,5.17,homogamous,-,-,
37,Dichogamy,5.17,protogynous,-,-,
38,Chromosome number(s): 1. number,5.25,60,,-,
39,2C DNA content (pg),5.26,4.00,,,
40,Seed size - length of longest axis (mm),5.31,4.0,nut,-,
41,Seed weight: 3. mean (mg),5.34,1.75,,,
42,Dispersal agent,5.38,water,-,-,
43,Dispersal agent,5.38,wind,-,-,
44,Time of germination (season),5.39,autumn,-,-,
45,Time of germination (season),5.39,spring,-,-,
46,After-ripening requirement,5.4,none,-,-,
47,Flower colour,5.58,green,red,,
48,Petal no,5.59,0.6,,at fruiting,
49,Petal no,5.59,6,,,
50,Stigma number,5.61,3,,,
51,Stamen number,5.62,6,,,
52,Sepal number,5.63,0,,monochlamydeous,
53,Carpel/Style number,5.64,3,,,
54,Inflorescence type,5.65,Raceme,panicle,"axillary, terminal",
55,Rarity Status,7.02,Present,,,
56,Change Index,7.03,0.93,,,
57,Biome,7.04,Boreal montane,,,
58,Eastern Limit,7.05,Eurasian,,,
59,Continentality,7.06,Not continental,,,
60,Northern Limit in Britain,7.07,No,,,
61,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
62,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
63,Southern European Limit,7.1,No,,,
64,January mean temperature,7.11,2.3,,,
65,July mean temperature,7.12,13,,,
66,Annual precipitation,7.13,1174,,,
67,Ellenberg Indicator: Light,7.14,7,,,
68,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
69,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
70,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
71,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
72,Ellenberg : Moisture,7.15,6,,,
73,Ellenberg: pH,7.16,7,,,
74,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
75,Ellenberg: pH,7.16,,,Data calculated for Europe,
76,Ellenberg Indicator: Nitrogen,7.17,7,,,
77,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
79,Ellenberg Indicator: Salt,7.18,0,,,
80,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
82,Life Form: normal state,7.19,Hemicryptophyte,,,
83,Clonality: normal state,7.21,Little or no vegetative spread,,,
84,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
85,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
86,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
