,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil moisture: 3. supply,1.04,continuous,-,-,
3,Soil pH: 1. extreme maximum,1.06,6.2,value in its one native locality,-,
4,Soil pH: 2. extreme minimum,1.07,6.1,value in its one native locality,-,
5,Shade,1.1,none,-,-,
6,Altitude: 1. maximum recorded (m),1.12,100,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Status,2.01,native,-,-,
10,First historical record: 1. date,2.04,1787,-,-,
11,First historical record: 2. site,2.05,"Dartmouth, Devon",-,-,
12,Range: 3. continents where native,2.11,Africa,-,-,
13,Range: 3. continents where native,2.11,Asia,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,Range: 4. continents where introduced,2.12,North America,-,-,
16,SN Index,2.13,3.35,-,-,
17,EW Index,2.14,2.96,-,-,
18,number of European countries in which native,2.17,20,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,decumbent,-,-,
21,Height: 3. typical maximum (cm),3.05,25,-,-,
22,Height: 4. typical minimum (cm),3.06,5,-,-,
23,Spread,3.07,height < width,-,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
28,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
30,Leaf shape: 6. petiole,3.14,subsessile,-,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
32,Leaf area (cm2),3.17,0.1-1,-,-,
33,Leaf area (cm2),3.17,<0.1,-,-,
34,Stomata: 1. surfaces present,3.19,both,-,-,
35,Stomata: 2. density on lower surface(no/mm2),3.2,60,-,-,
36,Stomata: 3. density on upper surface (no/mm2),3.21,70,-,-,
37,Root system,3.24,tap root,-,-,
38,Root depth: 2. depth (cm),3.26,0-10,to 12cm deep,-,
39,Photosynthetic pathway,4.02,C3,-,-,
40,Heavy metal resistance,4.05,none,-,-,
41,Carnivory,4.06,does not kill insects,-,-,
42,Nutrition,4.07,autotrophic,-,-,
43,Response to drought,4.08,wilts and recovers,-,-,
44,Response to frost (non-woody tissue),4.09,sensitive,-,-,
45,Life-form,5.01,therophyte,-,-,
46,Longevity of stems (yrs),5.02,<1,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
48,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
49,Flowering time: 1. earliest month,5.07,6,-,-,
50,Flowering time: 2. latest month,5.08,9,-,-,
51,Pollen: 2. diameter (um),5.13,10.2,-,-,
52,Pollen vector,5.15,selfed,-,-,
53,Dicliny,5.16,hermaphrodite,-,-,
54,Dichogamy,5.17,homogamous,-,-,
55,Fertilization,5.19,normally self,-,-,
56,Cleistogamy,5.2,pseudo-cleistogamous,-,-,
57,Incompatibility systems,5.22,none,-,-,
58,Chromosome number(s): 1. number,5.25,16,-,-,
59,Chromosome number(s): 1. number,5.25,18,-,-,
60,Time of seed dispersal (season),5.28,autumn,-,-,
61,Time of seed dispersal (season),5.28,winter,-,-,
62,Dispersule size - length of longest axis (mm),5.3,1.0,nutlet,-,
63,Seed size - length of longest axis (mm),5.31,1.0,nutlet,-,
64,Seed weight: 3. mean (mg),5.34,0.3,-,-,
65,Seed weight: 3. mean (mg),5.34,0.39,,,
66,Seed production: 1. maximum (/flower),5.35,1,-,-,
67,Seed production: 2. typical range (/flower),5.36,1,-,-,
68,Seed production: 3. typical range (/plant),5.37,10-100,mean 30,-,
69,Dispersal agent,5.38,water,may be some wind dispersal,-,
70,Time of germination (season),5.39,spring,may continue in the summer,-,
71,Germination type,5.48,epigeal,-,-,
72,Normal method of propagation,5.52,seed,-,-,
73,Flower colour,5.58,white,red,,
74,Petal no,5.59,5,,,
75,Petal (sepal) size (cm),5.6,0.1,,,
76,Stigma number,5.61,3,,,
77,Stamen number,5.62,5,,,
78,Sepal number,5.63,5,,,
79,Carpel/Style number,5.64,3,,,
80,Inflorescence type,5.65,cyme,,"terminal and axillary, crowded",
81,Physical defences on leaves,6.02,glabrous,-,-,
82,Physical defences on stems,6.03,glabrous,-,-,
83,Conservation Status,7.01,Critically Endangered,,,
84,Rarity Status,7.02,Rare,,,
85,Change Index,7.03,-0.96,,,
86,Biome,7.04,Southern Temperate,,,
87,Eastern Limit,7.05,Suboceanic,,,
88,Continentality,7.06,Not continental,,,
89,Northern Limit in Britain,7.07,No,,,
