,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,fertile,-,-,
2,Soil nutrients,1.01,infertile,-,-,
3,Salinity,1.05,fresh,-,-,
4,Soil pH: 1. extreme maximum,1.06,7.06,-,-,
5,Water pH: 1. extreme maximum,1.06A,7.37,-,-,
6,Soil pH: 2. extreme minimum,1.07,5.6,-,-,
7,Water pH: 2. extreme minimum,1.07A,5.47,-,-,
8,Shade,1.10,light,-,-,
9,Shade,1.10,none,-,-,
10,Altitude: 1. maximum recorded (m),1.12,730,-,-,
11,Altitude: 1. maximum recorded (m),1.12,850,-,-,
12,Altitude: 2. minimum recorded (m),1.13,0,-,-,
13,Altitude: 4. typical minimum (m),1.14,0,-,-,
14,Flow,1.15A,mid,-,-,
15,Flow,1.15A,nil,-,-,
16,Flow,1.15A,rapid,-,-,
17,Flow,1.15A,slight,-,-,
18,Status,2.01,native,-,-,
19,Typical abundance where naturally occurring,2.02,frequent,-,-,
20,Dynamics,2.03,declining,-,-,
21,First historical record: 1. date,2.04,1548,-,-,
22,Range: 3. continents where native,2.11,Africa,-,-,
23,Range: 3. continents where native,2.11,Asia,-,-,
24,Range: 3. continents where native,2.11,Europe,-,-,
25,SN Index,2.13,3.36,-,-,
26,EW Index,2.14,4.39,-,-,
27,British distribution (post 1949 records),2.15,1121,-,-,
28,number of European countries in which native,2.17,29,-,-,
29,Medicinal Use,2.18,bruises,,,
30,Medicinal Use,2.18,burns,,,
31,Medicinal Use,2.18,colds,,,
32,Medicinal Use,2.18,coughs,,,
33,Medicinal Use,2.18,kidney ailments,,,
34,Medicinal Use,2.18,scrofula,,,
35,Medicinal Use,2.18,wounds,,,
36,Stems: 1. woodiness,3.01,non-woody,-,-,
37,Stems: 2. support,3.02,creeping,-,-,
38,Stems: 2. support,3.02,self-supporting,-,-,
39,Height: 3. typical maximum (cm),3.05,60,-,-,
40,Height: 4. typical minimum (cm),3.06,20,-,-,
41,Spread,3.07,height = width,-,-,
42,Heterophylly,3.08,none,-,-,
43,Leaf shape: 1. type,3.09,simple,-,-,
44,Leaf shape: 2. outline,3.10,crenate,-,-,
45,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
46,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
47,Leaf shape: 5. leaf base,3.13,rounded,-,-,
48,Leaf shape: 6. petiole,3.14,petiolate,-,-,
49,Leaf area (cm2),3.17,1-10,-,-,
50,Leaf area (cm2),3.17,10-100,-,-,
51,Stomata: 1. surfaces present,3.19,both,-,-,
52,Stomata: 2. density on lower surface(no/mm2),3.20,138,-,-,
53,Stomata: 3. density on upper surface (no/mm2),3.21,83,-,-,
54,Leaf longevity: 1. type,3.22,evergreen,-,-,
55,Leaf longevity: 1. type,3.22,evergreen,-,-,
56,Root system,3.24,adventitious,-,-,
57,Root depth: 1. type,3.25,shallow,-,-,
58,Root depth: 1. type,3.25,shallow,-,-,
59,Root hairs,3.28,absent,on roots which penetrate mud,-,
60,Root hairs,3.28,present,on roots developed in water,-,
61,Photosynthetic pathway,4.02,C3,-,-,
62,Heavy metal resistance,4.05,none,-,-,
63,Carnivory,4.06,does not kill insects,-,-,
64,Nutrition,4.07,autotrophic,-,-,
65,Life-form,5.01,helophyte,-,-,
66,Life-form,5.01,hemicryptophyte,-,-,
67,Longevity of stems (yrs),5.02,<1,-,-,
68,Mono/poly-carpic,5.04,polycarpic,-,-,
69,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
70,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
71,Flowering time: 1. earliest month,5.07,5,-,-,
72,Flowering time: 2. latest month,5.08,9,-,-,
73,Pollen vector,5.15,insect,-,-,
74,Dicliny,5.16,hermaphrodite,-,-,
75,Dichogamy,5.17,protogynous,-,-,
76,Dichogamy,5.17,protogynous,-,-,
77,Fertilization,5.19,cross and self,-,-,
78,Fertilization,5.19,cross and self,-,-,
79,Incompatibility systems,5.22,none,-,-,
80,Chromosome number(s): 1. number,5.25,18,,-,
81,Chromosome number(s): 1. number,5.25,36,,-,
82,2C DNA content (pg),5.26,1.45,,,
83,2C DNA content (pg),5.26,1.6,-,-,
84,Appendages on dispersal unit,5.27,mucilage,-,-,
85,Time of seed dispersal (season),5.28,autumn,-October,-,
86,Time of seed dispersal (season),5.28,summer,-,-,
87,Dispersule size - length of longest axis (mm),5.30,1.8,seed,-,
88,Seed size - length of longest axis (mm),5.31,1.8,seed,-,
89,Seed weight: 3. mean (mg),5.34,0.07,,,
90,Seed weight: 3. mean (mg),5.34,0.34,-,-,
91,Time of germination (season),5.39,spring,late,-,
92,After-ripening requirement,5.40,none,-,-,
93,Maximum temperature at which 50% seeds germinate,5.42,24,-,-,
94,Germination type,5.48,epigeal,-,-,
95,Normal method of propagation,5.52,seed and vegetative,-,-,
96,Normal method of propagation,5.52,seed and vegetative,-,-,
97,Seedbank type,5.53,long-term persistent,-,-,
98,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
99,Seedbank type,5.53,short-term persistent,-,-,
100,Seedbank type,5.53,transient,-,-,
101,Maximum seedbank density (m2),5.54,2067,-,-,
102,Minimum seedbank density (m2),5.55,38,-,-,
103,Mean seedbank density (m2),5.56,390.625,-,-,
104,Flower colour,5.58,blue,,,
105,Petal no,5.59,4,,,
106,Petal (sepal) size (cm),5.60,0.375,0.35-0.4,,
107,Stigma number,5.61,1,,,
108,Stamen number,5.62,2,,,
109,Sepal number,5.63,4,3,upper lobe often missing,
110,Carpel/Style number,5.64,1,,,
111,Inflorescence type,5.65,raceme,,"opposite, lax, 10-30 fls",
112,Physical defences on leaves,6.02,glabrous,-,-,
113,Physical defences on stems,6.03,glabrous,-,-,
114,Rarity Status,7.02,Present,,,
115,Change Index,7.03,-0.31,,,
116,Biome,7.04,Temperate,,,
117,Eastern Limit,7.05,Euro-Siberian,,,
118,Continentality,7.06,Not continental,,,
119,Northern Limit in Britain,7.07,No,,,
120,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
121,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
122,Southern European Limit,7.10,No,,,
123,January mean temperature,7.11,3.6,,,
124,July mean temperature,7.12,15,,,
125,Annual precipitation,7.13,1034,,,
126,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
127,Ellenberg Indicator: Light,7.14,7,,,
128,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
129,Ellenberg : Moisture,7.15,10,,,
130,Ellenberg : Moisture,7.15,10,,Data calculated for Europe,
131,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
132,Ellenberg: pH,7.16,6,,,
133,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
134,Ellenberg: pH,7.16,7,,Data calculated for Europe,
135,Ellenberg Indicator: Nitrogen,7.17,6,,,
136,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
137,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
138,Ellenberg Indicator: Salt,7.18,0,,,
139,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
140,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
141,Life Form: normal state,7.19,Perennial hydrophyte,,,
142,Life Form: less frequent state,7.20,Chamaephyte,,,
143,Clonality: normal state,7.21,Shortly creeping and rooting at nodes,,,
144,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
145,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
146,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
