,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Water nutrients,1.01A,eutrophic,-,-,
3,Water nutrients,1.01A,eutrophic,-,-,
4,Salinity,1.05,fresh,-,-,
5,Salinity,1.05,salt-affected,-,-,
6,Soil pH: 1. extreme maximum,1.06,7.36,-,-,
7,Water pH: 1. extreme maximum,1.06A,7.32,-,-,
8,Soil pH: 2. extreme minimum,1.07,5.36,-,-,
9,Water pH: 2. extreme minimum,1.07A,5.58,-,-,
10,Soil pH: 3. typical maximum,1.08,6.94,-,-,
11,Water pH: 3. typical maximum,1.08A,6.85,-,-,
12,Soil pH: 4. typical minimum,1.09,5.96,-,-,
13,Water pH: 4. typical minimum,1.09A,6.07,-,-,
14,Shade,1.10,light,-,-,
15,Shade,1.10,none,-,-,
16,Altitude: 2. minimum recorded (m),1.13,0,-,-,
17,Altitude: 4. typical minimum (m),1.14,0,-,-,
18,Flow,1.15A,nil,-,-,
19,Flow,1.15A,nil,-,-,
20,Flow,1.15A,slight,-,-,
21,Flow,1.15A,slight,-,-,
22,Status,2.01,native,-,-,
23,Typical abundance where naturally occurring,2.02,scattered,-,-,
24,First historical record: 1. date,2.04,1597,-,-,
25,Range: 3. continents where native,2.11,Europe,-,-,
26,SN Index,2.13,2.1,-,-,
27,EW Index,2.14,3.78,-,-,
28,British distribution (post 1949 records),2.15,414,-,-,
29,number of European countries in which native,2.17,24,-,-,
30,Medicinal Use,2.18,rheumatism,,,
31,Medicinal Use,2.18,scurvy,,,
32,Stems: 1. woodiness,3.01,non-woody,-,-,
33,Stems: 2. support,3.02,self-supporting,-,-,
34,Leaf position,3.02A,emergent,-,-,
35,Height: 1. extreme maximum (cm),3.03,200,-,-,
36,Height: 3. typical maximum (cm),3.05,200,-,-,
37,Spread,3.07,height > width,-,-,
38,Heterophylly,3.08,none,-,-,
39,Leaf shape: 1. type,3.09,simple,-,-,
40,Leaf shape: 2. outline,3.10,entire,-,-,
41,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
42,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
43,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
44,Leaf shape: 6. petiole,3.14,petiolate,-,-,
45,Leaf area (cm2),3.17,100-1000,-,-,
46,Leaf area (cm2),3.17,>1000,-,-,
47,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
48,Leaf longevity: 2. number of months,3.23,2-6,-,-,
49,Photosynthetic pathway,4.02,C3,-,-,
50,Heavy metal resistance,4.05,none,-,-,
51,Carnivory,4.06,does not kill insects,-,-,
52,Nutrition,4.07,autotrophic,-,-,
53,Life-form,5.01,helophyte,-,-,
54,Life-form,5.01,hydrophyte,-,-,
55,Age at first flowering,5.03,1-2 yrs,-,-,
56,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
