,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,deep,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,mid,-,-,
4,Altitude: 1. maximum recorded (m),1.12,182,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,First historical record: 1. date,2.04,1562,-,-,
10,First historical record: 2. site,2.05,"Colchester, Essex",-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.94,-,-,
13,EW Index,2.14,4.3,-,-,
14,number of European countries in which native,2.17,8,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,40,-,-,
18,Height: 4. typical minimum (cm),3.06,20,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,developmental,-,-,
21,Leaf shape: 1. type,3.09,compound,-,-,
22,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Stomata: 1. surfaces present,3.19,lower,-,-,
30,Stomata: 2. density on lower surface(no/mm2),3.2,41,range 30-52,-,
31,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Flowering time: 1. earliest month,5.07,3,-,-,
39,Flowering time: 2. latest month,5.08,4,-,-,
40,Pollen: 2. diameter (um),5.13,36,-,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Dichogamy,5.17,protogynous,-,-,
44,Chromosome number(s): 1. number,5.25,32,,-,
45,2C DNA content (pg),5.26,30.40,2n=32,,
46,Appendages on dispersal unit,5.27,elaiosome,-,-,
47,Seed weight: 3. mean (mg),5.34,11,-,-,
48,Seed weight: 3. mean (mg),5.34,9.3668,,,
49,Seed production: 3. typical range (/plant),5.37,100-1000,c. 200,-,
50,Time of germination (season),5.39,spring,,-,
51,Seedbank type,5.53,transient,-,-,
52,Flower colour,5.58,green,purple,,
53,Petal no,5.59,5,,nectaries,
54,Petal (sepal) size (cm),5.6,1,0.5-1.5,sepals,
55,Stigma number,5.61,2,3-5,,
56,Stamen number,5.62,numerous,,,
57,Sepal number,5.63,5,,petaloid,
58,Carpel/Style number,5.64,3,2-5,,
59,Inflorescence type,5.65,cyme,,1-many fld.,
60,Physical defences on stems,6.03,glabrous,-,-,
61,Rarity Status,7.02,Present,,,
62,Change Index,7.03,-0.28,,,
63,Biome,7.04,Temperate,,,
64,Eastern Limit,7.05,Suboceanic,,,
65,Continentality,7.06,Not continental,,,
66,Northern Limit in Britain,7.07,Yes,,,
67,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.1,No,,,
70,January mean temperature,7.11,3.5,,,
71,July mean temperature,7.12,16,,,
72,Annual precipitation,7.13,805,,,
73,Ellenberg Indicator: Light,7.14,3,,,
74,Ellenberg Indicator: Light,7.14,3,,Data calculated for Europe,
75,Ellenberg Indicator: Light,7.14,4,,Data calculated for the Czech Republic,
76,Ellenberg : Moisture,7.15,5,,,
77,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
78,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
79,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
80,Ellenberg: pH,7.16,8,,,
81,Ellenberg: pH,7.16,8,,Data calculated for Europe,
82,Ellenberg Indicator: Nitrogen,7.17,6,,,
83,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
88,Life Form: normal state,7.19,Hemicryptophyte,,,
89,Clonality: normal state,7.21,Little or no vegetative spread,,,
90,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
91,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
92,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
