,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very infertile,-,-,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Soil pH: 1. extreme maximum,1.06,8.5,,-,
5,Soil pH: 2. extreme minimum,1.07,5.2,,-,
6,Shade,1.1,none,-,-,
7,Altitude: 1. maximum recorded (m),1.12,274,-,-,
8,Altitude: 1. maximum recorded (m),1.12,300,-,-,
9,Altitude: 2. minimum recorded (m),1.13,0,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,scattered,-,-,
12,Dynamics,2.03,declining,-,-,
13,Dynamics,2.03,declining,-,-,
14,Dynamics,2.03,declining,-,-,
15,First historical record: 1. date,2.04,1634,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,SN Index,2.13,2.02,-,-,
18,EW Index,2.14,3.58,-,-,
19,British distribution (post 1949 records),2.15,66,-,-,
20,number of European countries in which native,2.17,19,-,-,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Stems: 2. support,3.02,self-supporting,-,-,
23,Height: 1. extreme maximum (cm),3.03,30,-,-,
24,Height: 3. typical maximum (cm),3.05,20,-,-,
25,Height: 4. typical minimum (cm),3.06,8,-,-,
26,Spread,3.07,height > width,-,-,
27,Heterophylly,3.08,none,-,-,
28,Leaf shape: 1. type,3.09,simple,-,-,
29,Leaf shape: 2. outline,3.1,entire,-,-,
30,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
31,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
32,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
33,Leaf shape: 6. petiole,3.14,sheathing,-,-,
34,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
35,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
36,Leaf area (cm2),3.17,1-10,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Response to drought,4.08,wilts,-,-,
42,Response to frost (non-woody tissue),4.09,resistant,-,-,
43,Life-form,5.01,geophyte,-,-,
44,Longevity of stems (yrs),5.02,<1,-,-,
45,Age at first flowering,5.03,5-20 yrs,-,-,
46,Age at first flowering,5.03,5-20 yrs,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
48,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
49,Flowering time: 1. earliest month,5.07,5,-,-,
50,Flowering time: 1. earliest month,5.07,5,-,-,
51,Flowering time: 1. earliest month,5.07,7,-,aestivalis,
52,Flowering time: 2. latest month,5.08,6,-,-,
53,Pollen vector,5.15,insect,-,-,
54,Dicliny,5.16,hermaphrodite,-,-,
55,Chromosome number(s): 1. number,5.25,42,,-,
56,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
57,Dispersal agent,5.38,wind,-,-,
58,Normal method of propagation,5.52,seed,-,-,
59,Normal method of propagation,5.52,seed and vegetative,-,-,
60,Flower colour,5.58,white,"red purple, maroon",,
61,Petal no,5.59,6,,tepals,
62,Petal (sepal) size (cm),5.6,0.55,0.5-0.6,labellum,
63,Stigma number,5.61,3,,,
64,Stamen number,5.62,1,,,
65,Sepal number,5.63,0,,tepals,
66,Carpel/Style number,5.64,0,,,
67,Inflorescence type,5.65,spicate raceme,,terminal,
68,Response to vertebrate grazing,6.01,increases,-,-,
69,Rarity Status,7.02,Scarce,,,
70,Change Index,7.03,-1.77,,,
71,Biome,7.04,Temperate,,,
72,Eastern Limit,7.05,European,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,3.5,,,
79,July mean temperature,7.12,16,,,
80,Annual precipitation,7.13,777,,,
81,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
83,Ellenberg Indicator: Light,7.14,8,,,
84,Ellenberg : Moisture,7.15,4,,,
85,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
87,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
88,Ellenberg: pH,7.16,8,,,
89,Ellenberg: pH,7.16,,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,2,,,
91,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Non-bulbous geophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
98,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
