,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Waterlogging tolerance,1.021,1.04,,,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Shade,1.1,light,-,-,
5,Shade,1.1,none,-,-,
6,Shade tolerance,1.101,1.2,�0,,
7,Altitude: 1. maximum recorded (m),1.12,640,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,frequent,-,-,
12,First historical record: 1. date,2.04,1548,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,SN Index,2.13,3.72,-,-,
15,EW Index,2.14,4.33,-,-,
16,number of European countries in which native,2.17,23,-,-,
17,Medicinal Use,2.18,coughs,,,
18,Medicinal Use,2.18,dropsy,,,
19,Medicinal Use,2.18,heartburn,,,
20,Medicinal Use,2.18,kidney ailments,,,
21,Medicinal Use,2.18,liver ailments,,,
22,Medicinal Use,2.18,rheumatism,,,
23,Medicinal Use,2.18,swelling,,,
24,Stems: 1. woodiness,3.01,woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 3. typical maximum (cm),3.05,200,-,-,
27,Height: 4. typical minimum (cm),3.06,60,-,-,
28,Spread,3.07,height = width,-,-,
29,Heterophylly,3.08,none,-,-,
30,Leaf shape: 1. type,3.09,compound,-,-,
31,Leaf shape: 2. outline,3.1,entire,-,-,
32,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
33,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
34,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
35,Leaf shape: 6. petiole,3.14,petiolate,-,-,
36,Leaf area (cm2),3.17,1-10,-,-,
37,Stomata: 1. surfaces present,3.19,upper,-,-,
38,Stomata: 2. density on lower surface(no/mm2),3.2,0,-,-,
39,Stomata: 3. density on upper surface (no/mm2),3.21,90,-,-,
40,Leaf longevity: 1. type,3.22,aestival,-,-,
41,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
42,Root depth: 1. type,3.25,deep,-,-,
43,Fine root diameter (um),3.27,150-200,-,-,
44,Seedling growth rate - maximum (/d),4.01,0.09,-,-,
45,Photosynthetic pathway,4.02,C3,-,-,
46,Heavy metal resistance,4.05,none,-,-,
47,Carnivory,4.06,does not kill insects,-,-,
48,Nutrition,4.07,autotrophic,-,-,
49,Drought Tolerance,4.081,3.46,�0.42,,
50,Rgr max,4.12,0.63,�0.05,,
51,rgr,4.13,0.63,�0.05,,
52,Life-form,5.01,phanerophyte,-,-,
53,Mono/poly-carpic,5.04,polycarpic,-,-,
54,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
55,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
56,Flowering time: 1. earliest month,5.07,5,-,-,
