,Name,Number,Value,Modifier,Notes,Subspecies
0,Range: 3. continents where native,2.11,not woody,,,
1,Range: 3. continents where native,2.11,S. America,,,
2,Range: 4. continents where introduced,2.12,"Europe, N. Africa, E. Africa, N America",,,
3,Range: 4. continents where introduced,2.12,self supporting,,,
4,Height: 1. extreme maximum (cm),3.03,150,,,
5,Height: 3. typical maximum (cm),3.05,100,,,
6,Height: 3. typical maximum (cm),3.05,15,,,
7,Height: 3. typical maximum (cm),3.05,160,,,
8,Height: 4. typical minimum (cm),3.06,30,,,
9,Spread,3.07,height = width,,,
10,Leaf shape: 1. type,3.09,compound,,bi- tri-pinnate,
11,Leaf shape: 1. type,3.09,none,,,
12,Leaf shape: 2. outline,3.1,entire,,,
13,Leaf shape: 3. pointed/round,3.11,acute,,,
14,Leaf shape: 4. length versus breadth,3.12,length = width,,(20-)30-70+ x (30-)30-60+,
15,Leaf shape: 5. leaf base,3.13,truncate,cuneate,,
16,Leaf shape: 6. petiole,3.14,petiolate,,,
17,Leaf shape: 7. minimum petiole length (mm),3.15,20,,,
18,Leaf shape: 8. maximum petiole length (mm),3.16,50,,,
19,Leaf area (cm2),3.17,10-100,,,
20,Life-form,5.01,Therophyte,,,
21,Longevity of stems (yrs),5.02,<1,,,
22,Mono/poly-carpic,5.04,monocarpic,,,
23,Vegetative reproduction/persistence: 1. method,5.05,none,,,
24,Pollen vector,5.15,insects,,"bees, flies, butterflies",
25,Chromosome number(s): 1. number,5.25,24,,,
26,Chromosome number(s): 1. number,5.25,72,,,
27,Appendages on dispersal unit,5.27,barbs,,,
28,Seed weight: 3. mean (mg),5.34,2.3,,,
29,Seed weight: 3. mean (mg),5.34,4.287,,,
30,Dispersal agent,5.38,"mammals, birds",,,
31,Flower colour,5.58,yellow,,ray florets,
32,Flower colour,5.58,yellow,brown,disk florets,
33,Petal no,5.59,5,many,flowers mistaken for petals,
34,Petal (sepal) size (cm),5.6,0.15,0.1-0.2(-0.3),ray florets,
35,Petal (sepal) size (cm),5.6,0.25,0.2-0.3,disk florets,
36,Stigma number,5.61,2,,,
37,Stamen number,5.62,5,,fused into a tube,
38,Sepal number,5.63,0,many,sepaloid phyllaries,
39,Carpel/Style number,5.64,1,,,
40,Inflorescence type,5.65,capitulum,,"sub-corymbose panicle, solitary",
