,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,274,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,First historical record: 1. date,2.04,1597,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,2.42,-,-,
14,EW Index,2.14,4.11,-,-,
15,number of European countries in which native,2.17,22,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,120,-,-,
19,Height: 4. typical minimum (cm),3.06,5,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,compound,-,-,
23,Leaf shape: 2. outline,3.1,lobed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf longevity: 1. type,3.22,aestival,-,-,
29,Fine root diameter (um),3.27,100-150,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Mono/poly-carpic,5.04,monocarpic,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,8,-,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,andromonoecious,-,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Dichogamy,5.17,homogamous,-,-,
45,Dichogamy,5.17,protogynous,-,-,
46,Dichogamy,5.17,weakly protandrous,-,-,
47,Fertilization,5.19,cross and self,-,-,
48,Incompatibility systems,5.22,none,-,-,
49,Chromosome number(s): 1. number,5.25,20,,-,
50,Chromosome number(s): 1. number,5.25,20,,cynapium,
51,Dispersule size - length of longest axis (mm),5.3,3.0,fruit,-,
52,Seed weight: 3. mean (mg),5.34,1.57,,,
53,Seed weight: 3. mean (mg),5.34,1.64,-,-,
54,Seed production: 1. maximum (/flower),5.35,2,-,-,
55,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
