,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Waterlogging tolerance,1.021,1.39,�0.39,,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Soil pH: 1. extreme maximum,1.06,6.7,-,-,
5,Soil pH: 2. extreme minimum,1.07,3.5,-,-,
6,Shade,1.1,deep,-,-,
7,Shade,1.1,light,-,-,
8,Shade,1.1,mid,-,-,
9,Shade,1.1,none,-,-,
10,Shade tolerance,1.101,3.86,�0.19,,
11,Altitude: 1. maximum recorded (m),1.12,548,-,-,
12,Altitude: 2. minimum recorded (m),1.13,0,-,-,
13,Altitude: 4. typical minimum (m),1.14,0,-,-,
14,Status,2.01,native,-,-,
15,Typical abundance where naturally occurring,2.02,frequent,-,-,
16,First historical record: 1. date,2.04,1538,-,-,
17,Range: 3. continents where native,2.11,Africa,-,-,
18,Range: 3. continents where native,2.11,Asia,-,-,
19,Range: 3. continents where native,2.11,Europe,-,-,
20,SN Index,2.13,3.38,-,-,
21,EW Index,2.14,4.62,-,-,
22,number of European countries in which native,2.17,21,-,-,
23,Medicinal Use,2.18,arthritis,,,
24,Medicinal Use,2.18,chilblains,,,
25,Medicinal Use,2.18,rheumatism,,,
26,Medicinal Use,2.18,stiff neck,,,
27,Medicinal Use,2.18,whooping cough,,,
28,Stems: 1. woodiness,3.01,woody,-,-,
29,Stems: 2. support,3.02,self-supporting,-,-,
30,Height: 1. extreme maximum (cm),3.03,2300,-,-,
31,Height: 3. typical maximum (cm),3.05,1000,-,-,
32,Height: 4. typical minimum (cm),3.06,300,-,-,
33,Spread,3.07,height > width,-,-,
34,Heterophylly,3.08,none,-,-,
35,Leaf shape: 1. type,3.09,simple,-,-,
36,Leaf shape: 2. outline,3.1,toothed,-,-,
37,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
38,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
39,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
40,Leaf shape: 6. petiole,3.14,petiolate,-,-,
41,Leaf shape: 7. minimum petiole length (mm),3.15,10,-,-,
42,Leaf area (cm2),3.17,10-100,-,-,
43,Stomata: 1. surfaces present,3.19,lower,-,-,
44,Stomata: 2. density on lower surface(no/mm2),3.2,180,-,-,
