,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Salinity,1.05,fresh,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,Dynamics,2.03,declining,-,-,
6,Dynamics,2.03,declining,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,.75,-,-,
9,EW Index,2.14,9.08,-,-,
10,number of European countries in which native,2.17,3,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 3. typical maximum (cm),3.05,70,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Leaf shape: 6. petiole,3.14,subsessile,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,10,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,100,-,-,
25,Leaf area (cm2),3.17,10-100,-,-,
26,Root depth: 2. depth (cm),3.26,10-50,-,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,hemicryptophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
35,Flowering time: 1. earliest month,5.07,6,-,-,
36,Flowering time: 2. latest month,5.08,8,-,-,
37,Pollen vector,5.15,wind,-,-,
38,Dicliny,5.16,hermaphrodite,-,-,
39,Chromosome number(s): 1. number,5.25,20,,-,
40,Annual seed dispersal,5.29,alternate,-,-,
41,Seed size - length of longest axis (mm),5.31,2.0,nut,-,
42,Seed weight: 3. mean (mg),5.34,1.596,,,
43,Dispersal agent,5.38,water,-,-,
44,Time of germination (season),5.39,autumn,-,-,
45,Time of germination (season),5.39,spring,-,-,
46,Germination requirements 2. light,5.46,partial,promoted by light,-,
47,Normal method of propagation,5.52,seed,-,-,
48,Flower colour,5.58,green,red,,
49,Petal no,5.59,6,,,
50,Petal (sepal) size (cm),5.6,0.35,0.3-0.4,"at fruiting, tubercled",
51,Stigma number,5.61,3,,,
52,Stamen number,5.62,6,,,
53,Sepal number,5.63,0,,monochlamydeous,
54,Carpel/Style number,5.64,3,,,
55,Inflorescence type,5.65,Raceme,panicle,"axillary, terminal",
56,Physical defences on leaves,6.02,thick cuticle,-,-,
57,Conservation Status,7.01,Endangered,,,
58,Rarity Status,7.02,Scarce,,,
59,Change Index,7.03,-0.28,,,
60,Biome,7.04,Temperate,,,
61,Eastern Limit,7.05,Hyperoceanic,,,
62,Continentality,7.06,Not continental,,,
63,Northern Limit in Britain,7.07,No,,,
64,Southern European Limit,7.1,No Data,,,
65,January mean temperature,7.11,6.1,,,
66,July mean temperature,7.12,16,,,
67,Annual precipitation,7.13,1000,,,
68,Ellenberg Indicator: Light,7.14,7,,,
69,Ellenberg : Moisture,7.15,8,,,
70,Ellenberg: pH,7.16,5,,,
71,Ellenberg Indicator: Nitrogen,7.17,5,,,
72,Ellenberg Indicator: Salt,7.18,0,,,
73,Life Form: normal state,7.19,Hemicryptophyte,,,
74,Clonality: normal state,7.21,Little or no vegetative spread,,,
