,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 1. water table,1.02,periodically high,-,-,
2,Soil moisture: 3. supply,1.04,seasonal,-,-,
3,Salinity,1.05,fresh,-,-,
4,Maximum depth of leaves,1.10A,<0.5m,-,-,
5,Altitude: 1. maximum recorded (m),1.12,425,-,-,
6,Flow,1.15A,nil,-,-,
7,Flow,1.15A,slight,-,-,
8,Status,2.01,native,-,-,
9,First historical record: 1. date,2.04,1829,-,-,
10,First historical record: 2. site,2.05,"Amberley, Sussex",-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,SN Index,2.13,2.41,-,-,
15,EW Index,2.14,6.61,-,-,
16,British distribution (post 1949 records),2.15,50,-,-,
17,number of European countries in which native,2.17,15,-,-,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,procumbent,-,-,
20,Leaf position,3.02A,floating,-,-,
21,Leaf position,3.02A,submerged,-,-,
22,Spread,3.07,not applicable,aquatic,-,
23,Heterophylly,3.08,environmental,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.10,entire,-,-,
26,Leaf shape: 3. pointed/round,3.11,emarginate,-,-,
27,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
28,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
30,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Root system,3.24,adventitious,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,hydrophyte,-,-,
38,Life-form,5.01,therophyte,-,-,
39,Longevity of stems (yrs),5.02,<1,-,-,
40,Dicliny,5.16,monoecious,-,-,
41,Fertilization,5.19,normally self,-,-,
42,Chromosome number(s): 1. number,5.25,28,,-,
43,2C DNA content (pg),5.26,5.46,2n=28,-,
44,Seed weight: 3. mean (mg),5.34,0.664,,,
45,Flower colour,5.58,green,,,
46,Petal no,5.59,0,,,
47,Petal (sepal) size (cm),5.60,0,,,
48,Stigma number,5.61,2,0,monoecious,
49,Stamen number,5.62,1,0,monoecious,
50,Sepal number,5.63,0,,,
51,Carpel/Style number,5.64,2,0,monoecious,
52,Inflorescence type,5.65,solitary,2,axillary,
53,Physical defences on leaves,6.02,glabrous,-,-,
54,Rarity Status,7.02,Present,,,
55,Biome,7.04,Mediterranean-Atlantic,,,
56,Eastern Limit,7.05,Oceanic,,,
57,Continentality,7.06,Not continental,,,
58,Northern Limit in Britain,7.07,No,,,
59,Southern European Limit,7.10,No Data,,,
60,January mean temperature,7.11,4.1,,,
61,July mean temperature,7.12,15,,,
62,Annual precipitation,7.13,1087,,,
63,Ellenberg Indicator: Light,7.14,8,,,
64,Ellenberg : Moisture,7.15,10,,,
65,Ellenberg: pH,7.16,5,,,
66,Ellenberg Indicator: Nitrogen,7.17,5,,,
67,Ellenberg Indicator: Salt,7.18,0,,,
68,Life Form: normal state,7.19,Hz,,,
69,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
