,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Water nutrients,1.01A,mesotrophic,-,-,
4,Water nutrients,1.01A,oligotrophic,-,-,
5,Salinity,1.05,brackish,,-,
6,Salinity,1.05,fresh,,-,
7,Salinity,1.05,fresh,-,-,
8,Shade,1.10,none,-,-,
9,Maximum depth of leaves,1.10A,>0.5m,-,-,
10,Maximum depth of leaves,1.10A,>0.5m,-,-,
11,Altitude: 1. maximum recorded (m),1.12,220,-,-,
12,Altitude: 1. maximum recorded (m),1.12,440,-,-,
13,Flow,1.15A,mid,-,-,
14,Flow,1.15A,nil,-,-,
15,Flow,1.15A,nil,-,-,
16,Flow,1.15A,slight,-,-,
17,Flow,1.15A,slight,-,-,
18,Status,2.01,naturalised,-,-,
19,Typical abundance where naturally occurring,2.02,dominant,-,-,
20,Dynamics,2.03,declining,probably,-,
21,First historical record: 1. date,2.04,1836,-,-,
22,First historical record: 2. site,2.05,"County Down, Ireland",-,-,
23,Range: 3. continents where native,2.11,North America,-,-,
24,Range: 4. continents where introduced,2.12,Australasia,-,-,
25,Range: 4. continents where introduced,2.12,Europe,-,-,
26,SN Index,2.13,3,-,-,
27,EW Index,2.14,3.83,-,-,
28,Stems: 1. woodiness,3.01,non-woody,-,-,
29,Leaf position,3.02A,submerged,-,-,
30,Spread,3.07,height < width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.10,toothed,-,-,
34,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
35,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
37,Leaf shape: 6. petiole,3.14,sessile,-,-,
38,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
39,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
40,Leaf area (cm2),3.17,0.1-1,-,-,
41,Stomata: 1. surfaces present,3.19,none,"present on sepals, source no 1056",-,
42,Stomata: 2. density on lower surface(no/mm2),3.20,0,-,-,
43,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
44,Leaf longevity: 1. type,3.22,aestival,-,-,
45,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
46,Root system,3.24,adventitious,-,-,
47,Root hairs,3.28,present,"no root hairs when in water, source no 119",-,
48,Photosynthetic pathway,4.02,C3,,-,
49,Heavy metal resistance,4.05,none,-,-,
50,Carnivory,4.06,does not kill insects,-,-,
51,Nutrition,4.07,autotrophic,-,-,
52,Life-form,5.01,hydrophyte,-,-,
53,Longevity of stems (yrs),5.02,<1,-,-,
54,Mono/poly-carpic,5.04,polycarpic,-,-,
55,Vegetative reproduction/persistence: 1. method,5.05,turions,,-,
56,Flowering time: 1. earliest month,5.07,5,-,-,
57,Flowering time: 2. latest month,5.08,10,-,-,
58,Pollen: 2. diameter (um),5.13,190,"dispersed in tetrads 180-200um in diameter, grains are 120-170um long, but no male individua",-,
59,Pollen vector,5.15,water,but virtually no males in Britain,-,
60,Pollen vector,5.15,water,-,-,
61,Dicliny,5.16,dioecious,"male flowers have only been recorded once in Britain, source no 60",-,
62,Fertilization,5.19,no seed produced in Britain,-,-,
63,Fertilization,5.19,no seed produced in Britain,-,-,
64,Chromosome number(s): 1. number,5.25,24,-,-,
65,Chromosome number(s): 1. number,5.25,48,,-,
66,2C DNA content (pg),5.26,10.0,-,-,
67,2C DNA content (pg),5.26,8.35,2n=48,,
68,Seed size - length of longest axis (mm),5.31,5.0,but no seed produced in Britain,-,
69,Normal method of propagation,5.52,vegetative,-,-,
70,Normal method of propagation,5.52,vegetative,-,-,
71,Flower colour,5.58,white,pink,,
72,Petal no,5.59,3,,,
73,Petal (sepal) size (cm),5.60,0.25,,,
74,Stigma number,5.61,6,,,
75,Stamen number,5.62,9,,,
76,Sepal number,5.63,3,,,
77,Carpel/Style number,5.64,3,,,
78,Inflorescence type,5.65,solitary,,"Axillary, in a spathe",
79,Change Index,7.03,0.37,,,
80,Biome,7.04,Mediterranean,,,
81,Eastern Limit,7.05,Hyperoceanic,,,
82,Continentality,7.06,Not continental,,,
83,Northern Limit in Britain,7.07,No,,,
84,Southern European Limit,7.10,No Data,,,
85,January mean temperature,7.11,3.6,,,
86,July mean temperature,7.12,15,,,
87,Annual precipitation,7.13,936,,,
