,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.6,-,-,
3,Water pH: 1. extreme maximum,1.06A,8.02,-,-,
4,Soil pH: 2. extreme minimum,1.07,3.72,-,-,
5,Water pH: 2. extreme minimum,1.07A,4.31,-,-,
6,Soil pH: 3. typical maximum,1.08,7.03,-,-,
7,Water pH: 3. typical maximum,1.08A,6.77,-,-,
8,Soil pH: 4. typical minimum,1.09,5.57,-,-,
9,Water pH: 4. typical minimum,1.09A,5.61,-,-,
10,Shade,1.10,light,-,-,
11,Shade,1.10,none,-,-,
12,Altitude: 1. maximum recorded (m),1.12,441,-,-,
13,Altitude: 2. minimum recorded (m),1.13,0,-,-,
14,Altitude: 4. typical minimum (m),1.14,0,-,-,
15,Status,2.01,native,-,-,
16,Typical abundance where naturally occurring,2.02,frequent,-,-,
17,Dynamics,2.03,declining,-,-,
18,First historical record: 1. date,2.04,1548,-,-,
19,First historical record: 2. site,2.05,"Lambeth, London",-,-,
20,Range: 3. continents where native,2.11,Africa,-,-,
21,Range: 3. continents where native,2.11,Asia,-,-,
22,Range: 3. continents where native,2.11,Europe,-,-,
23,Range: 4. continents where introduced,2.12,North America,-,-,
24,SN Index,2.13,2.81,-,-,
25,EW Index,2.14,4.87,-,-,
26,number of European countries in which native,2.17,28,-,-,
27,Medicinal Use,2.18,diarrhoea,,,
28,Medicinal Use,2.18,wounds,,,
29,Stems: 1. woodiness,3.01,non-woody,-,-,
30,Stems: 2. support,3.02,self-supporting,-,-,
31,Height: 3. typical maximum (cm),3.05,120,-,-,
32,Height: 4. typical minimum (cm),3.06,60,-,-,
33,Spread,3.07,height > width,-,-,
34,Heterophylly,3.08,none,-,-,
35,Leaf shape: 1. type,3.09,simple,-,-,
36,Leaf shape: 2. outline,3.10,entire,-,-,
37,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
38,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
39,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
40,Leaf shape: 5. leaf base,3.13,cordate,-,-,
41,Leaf shape: 5. leaf base,3.13,rounded,-,-,
42,Leaf shape: 6. petiole,3.14,sessile,-,-,
43,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
44,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
45,Leaf area (cm2),3.17,1-10,-,-,
46,Leaf area (cm2),3.17,10-100,-,-,
47,Stomata: 1. surfaces present,3.19,both,-,-,
48,Stomata: 2. density on lower surface(no/mm2),3.20,159,-,-,
49,Stomata: 3. density on upper surface (no/mm2),3.21,24,-,-,
50,Leaf longevity: 1. type,3.22,aestival,-,-,
51,Root system,3.24,tap root,-,-,
52,Photosynthetic pathway,4.02,C3,-,-,
53,Heavy metal resistance,4.05,none,-,-,
54,Carnivory,4.06,does not kill insects,-,-,
