,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,-,
1,Shade,1.1,none,,-,
2,Status,2.01,naturalised,-,-,
3,Typical abundance where naturally occurring,2.02,dominant,-,-,
4,Range: 3. continents where native,2.11,North America,,-,
5,Range: 4. continents where introduced,2.12,Europe,-,-,
6,SN Index,2.13,2.86,-,-,
7,EW Index,2.14,3.68,-,-,
8,Stems: 1. woodiness,3.01,non-woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 1. extreme maximum (cm),3.03,250,,-,
11,Height: 2. extreme minimum (cm),3.04,30,,-,
12,Height: 3. typical maximum (cm),3.05,150,,-,
13,Height: 4. typical minimum (cm),3.06,50,,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,toothed,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
21,Leaf shape: 6. petiole,3.14,petiolate,-,-,
22,Leaf shape: 6. petiole,3.14,sessile,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Life-form,5.01,hemicryptophyte,-,-,
29,Longevity of stems (yrs),5.02,<1,-,-,
30,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
31,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
32,Flowering time: 1. earliest month,5.07,8,-,-,
33,Flowering time: 2. latest month,5.08,10,-,-,
34,Pollen vector,5.15,insect,-,-,
35,Dicliny,5.16,gynomonoecious,-,-,
36,Chromosome number(s): 1. number,5.25,36,,-,
37,2C DNA content (pg),5.26,3.64,,,
38,Appendages on dispersal unit,5.27,pappus,,-,
39,Dispersule size - length of longest axis (mm),5.3,4.0,achene and pappus,-,
40,Seed size - length of longest axis (mm),5.31,1.0,"achene, with a pappus of 3mm long",-,
41,Seed weight: 3. mean (mg),5.34,0.22,,,
42,Seed weight: 3. mean (mg),5.34,1.5,,,
43,Normal method of propagation,5.52,vegetative,-,-,
44,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
45,Seedbank type,5.53,transient,-,-,
46,Maximum seedbank density (m2),5.54,14,-,-,
47,Minimum seedbank density (m2),5.55,14,-,-,
48,Mean seedbank density (m2),5.56,14,-,-,
49,Flower colour,5.58,0.06,,disc florets,
50,Flower colour,5.58,yellow,,radiate,
51,Petal no,5.59,5,many,flowers mistaken for petals,
52,Petal (sepal) size (cm),5.6,0.01,,ray florets,
53,Stigma number,5.61,2,,,
54,Stamen number,5.62,5,,fused into a tube,
55,Sepal number,5.63,0,many,sepaloid phyllaries,
56,Carpel/Style number,5.64,1,,,
57,Inflorescence type,5.65,capitulum,,,
58,Physical defences on leaves,6.02,stiff hairs,-,-,
59,Physical defences on stems,6.03,glabrous,below,-,
60,Physical defences on stems,6.03,soft hairs,-,-,
61,Biome,7.04,Mediterranean,,,
62,Eastern Limit,7.05,Hyperoceanic,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,Southern European Limit,7.1,No Data,,,
66,January mean temperature,7.11,3.5,,,
67,July mean temperature,7.12,15.5,,,
68,Annual precipitation,7.13,854,,,
69,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
70,Ellenberg Indicator: Light,7.14,8,,,
71,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
72,Ellenberg : Moisture,7.15,5,,,
73,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
75,Ellenberg: pH,7.16,5,,,
76,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,,,Data calculated for Europe,
78,Ellenberg Indicator: Nitrogen,7.17,6,,,
79,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
84,Life Form: normal state,7.19,Hemicryptophyte,,,
85,Clonality: normal state,7.21,Rhizome shortly creeping,,,
86,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
87,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
88,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
