,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.48,-,-,
3,Water pH: 1. extreme maximum,1.06A,6.66,-,-,
4,Soil pH: 2. extreme minimum,1.07,4.96,-,-,
5,Water pH: 2. extreme minimum,1.07A,5.33,-,-,
6,Shade,1.10,light,-,-,
7,Shade,1.10,none,-,-,
8,Altitude: 1. maximum recorded (m),1.12,457,-,-,
9,Altitude: 1. maximum recorded (m),1.12,540,"Moor House, Cumbria",,
10,Altitude: 2. minimum recorded (m),1.13,0,-,-,
11,Altitude: 4. typical minimum (m),1.14,0,-,-,
12,Status,2.01,native,-,-,
13,Typical abundance where naturally occurring,2.02,frequent,-,-,
14,First historical record: 1. date,2.04,1597,-,-,
15,First historical record: 2. site,2.05,Kent,-,-,
16,Range: 3. continents where native,2.11,Asia,-,-,
17,Range: 3. continents where native,2.11,Europe,-,-,
18,Range: 3. continents where native,2.11,North America,-,-,
19,SN Index,2.13,3.55,-,-,
20,EW Index,2.14,4.86,-,-,
21,number of European countries in which native,2.17,26,-,-,
22,Medicinal Use,2.18,boils,,,
23,Medicinal Use,2.18,sores,,,
24,Medicinal Use,2.18,wounds,,,
25,Stems: 1. woodiness,3.01,non-woody,-,-,
26,Stems: 2. support,3.02,self-supporting,-,-,
27,Height: 3. typical maximum (cm),3.05,100,-,-,
28,Height: 4. typical minimum (cm),3.06,40,-,-,
29,Spread,3.07,height > width,-,-,
30,Heterophylly,3.08,none,-,-,
31,Leaf shape: 1. type,3.09,simple,-,-,
32,Leaf shape: 2. outline,3.10,crenate,-,-,
33,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
34,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
35,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,rounded,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,-,-,
38,Leaf shape: 6. petiole,3.14,sessile,-,-,
39,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
40,Leaf shape: 8. maximum petiole length (mm),3.16,5,-,-,
41,Leaf area (cm2),3.17,10-100,-,-,
42,Leaf longevity: 1. type,3.22,aestival,-,-,
43,Photosynthetic pathway,4.02,C3,-,-,
44,Mature leaf N concentration (mg/g),4.03,20-30,,,
45,Mature leaf P concentration (mg/g),4.04,>3,,,
46,Heavy metal resistance,4.05,none,-,-,
47,Carnivory,4.06,does not kill insects,-,-,
48,Nutrition,4.07,autotrophic,-,-,
49,Life-form,5.01,geophyte,-,-,
50,Longevity of stems (yrs),5.02,<1,-,-,
51,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
52,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
53,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
