,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 1. water table,1.02,permanently high,-,-,
3,Soil moisture: 3. supply,1.04,continuous,-,-,
4,Salinity,1.05,saline,-,-,
5,Salinity,1.05,saline,-,-,
6,Shade,1.1,none,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Status,2.01,native,-,-,
10,Typical abundance where naturally occurring,2.02,scattered,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.31,-,-,
13,EW Index,2.14,3.96,-,-,
14,British distribution (post 1949 records),2.15,42,-,-,
15,number of European countries in which native,2.17,3,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,procumbent,-,-,
18,Stems: 2. support,3.02,self-supporting,-,-,
19,Height: 3. typical maximum (cm),3.05,25,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,shorter than broad,-,-,
26,Leaf shape: 5. leaf base,3.13,not applicable,no true leaves,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Stomata: 1. surfaces present,3.19,stem,-,-,
31,Stomata: 2. density on lower surface(no/mm2),3.2,49,-,-,
32,Root depth: 1. type,3.25,shallow,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Mature leaf N concentration (mg/g),4.03,>30,Stem,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Response to frost (non-woody tissue),4.09,sensitive,-,-,
39,Response to frost (seedlings),4.1,sensitive,-,-,
40,Life-form,5.01,therophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
43,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
44,Flowering time: 1. earliest month,5.07,8,-,-,
45,Flowering time: 2. latest month,5.08,9,-,-,
46,Pollen: 2. diameter (um),5.13,32.5,(27-)31-34(-42),-,
47,Pollen vector,5.15,wind,-,-,
48,Dichogamy,5.17,weakly protogynous,-,-,
49,Fertilization,5.19,normally self,-,-,
50,Inbreeding (%),5.21,99,-,-,
51,Chromosome number(s): 1. number,5.25,18,-,-,
52,Chromosome number(s): 1. number,5.25,18,-,-,
53,Chromosome number(s): 1. number,5.25,36,-,-,
54,Appendages on dispersal unit,5.27,none,-,-,
55,Dispersule size - length of longest axis (mm),5.3,2.7,-,-,
56,Seed size - length of longest axis (mm),5.31,2.7,-,-,
57,Seed weight: 1. maximum (mg),5.32,0.57,-,-,
58,Seed weight: 2. minimum (mg),5.33,0.25,-,-,
59,Seed weight: 3. mean (mg),5.34,0.41,-,-,
60,Seed weight: 3. mean (mg),5.34,1.3492,,,
61,Seed production: 1. maximum (/flower),5.35,1,-,-,
62,Seed production: 1. maximum (/flower),5.35,10,-,-,
63,Seed production: 2. typical range (/flower),5.36,1,-,-,
64,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
65,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
66,Dispersal agent,5.38,water,-,-,
67,Germination requirements 1. chilling,5.45,partial,-,-,
68,Germination requirements 2. light,5.46,none,-,-,
69,Germination requirements 3. temperature fluctuation,5.47,none,-,-,
70,Seed viability,5.49,high,-,-,
71,Seedbank longevity,5.5,1-5 yrs,-,-,
72,Seedbank density: recorded values,5.51,75000,50-100000,-,
73,Normal method of propagation,5.52,seed,-,-,
74,Normal method of propagation,5.52,seed,-,-,
75,Flower colour,5.58,green,,,
76,Petal no,5.59,0,3,indistinct,
77,Petal (sepal) size (cm),5.6,0,,,
78,Stigma number,5.61,1,,,
79,Stamen number,5.62,2,,,
80,Sepal number,5.63,0,,,
81,Carpel/Style number,5.64,1,,,
82,Inflorescence type,5.65,spike,cyme,"terminal and axillary, (1) 3 fld",
83,Physical defences on leaves,6.02,glabrous,-,-,
84,Physical defences on flowers/fruits,6.04,stiff hairs,-,-,
85,Rarity Status,7.02,Scarce,,,
86,Change Index,7.03,-0.21,,,
87,Biome,7.04,Temperate,,,
88,Eastern Limit,7.05,Oceanic,,,
89,Continentality,7.06,Not continental,,,
90,Northern Limit in Britain,7.07,No,,,
91,"Northern European Limit (Lat,5C band)",7.08,>65,,,
92,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
93,Southern European Limit,7.1,No,,,
94,January mean temperature,7.11,4.6,,,
95,July mean temperature,7.12,16,,,
96,Annual precipitation,7.13,791,,,
97,Ellenberg Indicator: Light,7.14,9,,,
98,Ellenberg : Moisture,7.15,6,,,
99,Ellenberg: pH,7.16,8,,,
100,Ellenberg Indicator: Nitrogen,7.17,6,,,
101,Ellenberg Indicator: Salt,7.18,5,,,
102,Life Form: normal state,7.19,Therophyte,,,
103,Clonality: normal state,7.21,Little or no vegetative spread,,,
