,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very infertile,-,-,
3,Soil pH: 1. extreme maximum,1.06,10,-,-,
4,Shade,1.1,none,,-,
5,Altitude: 1. maximum recorded (m),1.12,1066,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,dominant,-,-,
10,First historical record: 1. date,2.04,1548,-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 4. continents where introduced,2.12,North America,-,-,
15,SN Index,2.13,3.72,-,-,
16,EW Index,2.14,4.42,-,-,
17,number of European countries in which native,2.17,30,-,-,
18,Medicinal Use,2.18,asthma,,,
19,Medicinal Use,2.18,coughs,,,
20,Medicinal Use,2.18,earache,,,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Stems: 2. support,3.02,self-supporting,-,-,
23,Height: 3. typical maximum (cm),3.05,15,-,-,
24,Height: 4. typical minimum (cm),3.06,5,-,-,
25,Spread,3.07,height < width,-,-,
26,Heterophylly,3.08,none,-,-,
27,Leaf shape: 1. type,3.09,simple,-,-,
28,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
30,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
31,Leaf shape: 5. leaf base,3.13,cordate,-,-,
32,Leaf shape: 6. petiole,3.14,petiolate,-,-,
33,Leaf area (cm2),3.17,10-100,-,-,
34,Leaf area (cm2),3.17,100-1000,-,-,
35,Stomata: 1. surfaces present,3.19,lower,-,-,
36,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
37,Leaf longevity: 1. type,3.22,aestival,-,-,
38,Root system,3.24,adventitious,tap root during seedling stage,-,
39,Photosynthetic pathway,4.02,C3,-,-,
40,Mature leaf N concentration (mg/g),4.03,10-20,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Rgr max,4.12,1.32,�0.08,,
45,rgr,4.13,1.32,�0.08,,
46,Life-form,5.01,geophyte,-,-,
47,Life-form,5.01,hemicryptophyte,-,-,
48,Longevity of stems (yrs),5.02,<1,-,-,
49,Age at first flowering,5.03,1-2 yrs,-,-,
50,Mono/poly-carpic,5.04,polycarpic,-,-,
51,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
52,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
53,Flowering time: 1. earliest month,5.07,3,-,-,
54,Flowering time: 2. latest month,5.08,5,-,-,
55,Pollen: 2. diameter (um),5.13,26.3,-,-,
56,Pollen: 2. diameter (um),5.13,44,-,-,
57,Pollen vector,5.15,insect,-,-,
58,Dicliny,5.16,monoecious,-,-,
59,Dichogamy,5.17,markedly protogynous,-,-,
60,Fertilization,5.19,cross or automatic self,-,-,
61,Incompatibility systems,5.22,none,-,-,
62,Seed/ovule ratio,5.24,0.5,-,-,
63,Chromosome number(s): 1. number,5.25,60,-,-,
64,2C DNA content (pg),5.26,4.6,-,-,
65,Appendages on dispersal unit,5.27,pappus,-,-,
66,Time of seed dispersal (season),5.28,spring,-,-,
67,Dispersule size - length of longest axis (mm),5.3,17.0,achene and pappus,-,
68,Seed size - length of longest axis (mm),5.31,3.0,dispersed with a pappus of hairs of up to 14mm long,-,
69,Seed weight: 3. mean (mg),5.34,0.25,-,-,
70,Seed weight: 3. mean (mg),5.34,0.4,,,
71,Seed production: 1. maximum (/flower),5.35,300,fruits/head,-,
72,Seed production: 2. typical range (/flower),5.36,100-1000,-,-,
73,Dispersal agent,5.38,water,,-,
74,Dispersal agent,5.38,wind,-,-,
75,Time of germination (season),5.39,spring,-,-,
76,Time of germination (season),5.39,summer,June,-,
77,After-ripening requirement,5.4,none,-,-,
78,Maximum temperature at which 50% seeds germinate,5.42,34,-,-,
79,Germination requirements 2. light,5.46,none,-,-,
80,Germination requirements 2. light,5.46,partial,,-,
81,Germination type,5.48,epigeal,-,-,
82,Seed viability,5.49,high,,-,
83,Seedbank longevity,5.5,<3 months,-,-,
84,Normal method of propagation,5.52,seed and vegetative,-,-,
85,Seedbank type,5.53,short-term persistent,-,-,
86,Seedbank type,5.53,transient,-,-,
87,Maximum seedbank density (m2),5.54,60,-,-,
88,Minimum seedbank density (m2),5.55,53,-,-,
89,Mean seedbank density (m2),5.56,56.5,-,-,
90,Flower colour,5.58,yellow,,disk florets,
