,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,91,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,First historical record: 1. date,2.04,1551,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 4. continents where introduced,2.12,Africa,-,-,
11,Range: 4. continents where introduced,2.12,North America,-,-,
12,SN Index,2.13,1.86,-,-,
13,EW Index,2.14,3.5,-,-,
14,number of European countries in which native,2.17,16,-,-,
15,Medicinal Use,2.18,colds,,,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,100,-,-,
19,Height: 4. typical minimum (cm),3.06,40,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,10-100,-,-,
29,Stomata: 1. surfaces present,3.19,lower,-,-,
30,Stomata: 2. density on lower surface(no/mm2),3.2,163,range 150-175,-,
31,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Flowering time: 1. earliest month,5.07,7,-,-,
39,Flowering time: 2. latest month,5.08,9,-,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,gynodioecious,,-,
42,Dicliny,5.16,gynomonoecious,,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Dichogamy,5.17,entirely protandrous,-,-,
45,Fertilization,5.19,normally cross,-,-,
46,Pollen/ovule ratio,5.23,906,,-,
47,Chromosome number(s): 1. number,5.25,36,,-,
48,Seed weight: 3. mean (mg),5.34,0.44,-,-,
49,Seed weight: 3. mean (mg),5.34,0.55,,,
50,Flower colour,5.58,white,purple,,
51,Petal no,5.59,5,,fused,
52,Petal (sepal) size (cm),5.6,1.2,,,
53,Stigma number,5.61,2,,,
54,Stamen number,5.62,4,,,
55,Sepal number,5.63,5,,fused,
56,Carpel/Style number,5.64,1,,,
57,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
58,Physical defences on leaves,6.02,dense hairs,lower epidermis,-,
59,Physical defences on stems,6.03,soft hairs,-,-,
60,Change Index,7.03,-1.23,,,
61,Biome,7.04,Temperate,,,
62,Eastern Limit,7.05,Euro-Siberian,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,Southern European Limit,7.1,No Data,,,
66,January mean temperature,7.11,3.7,,,
67,July mean temperature,7.12,16,,,
68,Annual precipitation,7.13,761,,,
69,Ellenberg Indicator: Light,7.14,7,,,
70,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
71,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
72,Ellenberg : Moisture,7.15,4,,,
73,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
75,Ellenberg: pH,7.16,7,,,
76,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,7,,Data calculated for Europe,
78,Ellenberg Indicator: Nitrogen,7.17,6,,,
79,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
83,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
84,Life Form: normal state,7.19,Hemicryptophyte,,,
85,Clonality: normal state,7.21,Rhizome shortly creeping,,,
86,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
87,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
88,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
