,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,,
1,Soil nutrients,1.01,very infertile,-,,
2,Soil moisture: 2. drainage,1.03,free-draining,-,,
3,Soil pH: 3. typical maximum,1.08,4.5,-,,
4,Shade,1.1,none,-,,
5,Altitude: 1. maximum recorded (m),1.12,1160,-,,
6,Altitude: 2. minimum recorded (m),1.13,180,-,,
7,Status,2.01,native,-,,
8,Typical abundance where naturally occurring,2.02,scattered,-,,
9,SN Index,2.13,6.79,-,,
10,EW Index,2.14,3.11,-,,
11,number of European countries in which native,2.17,11,-,,
12,Stems: 1. woodiness,3.01,non-woody,-,,
13,Stems: 2. support,3.02,self-supporting,-,,
14,Height: 3. typical maximum (cm),3.05,20,-,,
15,Height: 4. typical minimum (cm),3.06,5,-,,
16,Spread,3.07,height < width,-,,
17,Heterophylly,3.08,none,-,,
18,Leaf shape: 1. type,3.09,simple,-,,
19,Leaf shape: 2. outline,3.1,lobed and toothed,-,,
20,Leaf shape: 3. pointed/round,3.11,rounded,-,,
21,Leaf shape: 4. length versus breadth,3.12,length = width,-,,
22,Leaf shape: 5. leaf base,3.13,cordate,-,,
23,Leaf shape: 6. petiole,3.14,petiolate,-,,
24,Leaf shape: 7. minimum petiole length (mm),3.15,10,-,,
25,Leaf shape: 8. maximum petiole length (mm),3.16,70,-,,
26,Leaf area (cm2),3.17,10-100,-,,
27,Stomata: 1. surfaces present,3.19,lower,-,,
28,Root system,3.24,adventitious,-,,
29,Mean plant dry mass(mg),3.35,466,,,
30,Photosynthetic pathway,4.02,C3,-,,
31,Mature leaf N concentration (mg/g),4.03,10-20,-,,
32,Mature leaf P concentration (mg/g),4.04,2-3,-,,
33,Heavy metal resistance,4.05,none,-,,
34,Carnivory,4.06,does not kill insects,-,,
35,Nutrition,4.07,autotrophic,-,,
36,Response to frost (non-woody tissue),4.09,sensitive,-,,
37,Life-form,5.01,hemicryptophyte,-,,
38,Longevity of stems (yrs),5.02,<1,-,,
39,Age at first flowering,5.03,5-20 yrs,,,
40,Mono/poly-carpic,5.04,polycarpic,-,,
41,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,,
42,Flowering time: 1. earliest month,5.07,6,-,,
43,Flowering time: 2. latest month,5.08,8,-,,
44,Pollen vector,5.15,insect,-,,
45,Dicliny,5.16,dioecious,-,,
46,Dicliny,5.16,hermaphrodite,-,,
47,Fertilization,5.19,obligatory cross,-,,
48,Chromosome number(s): 1. number,5.25,56,-,,
49,2C DNA content (pg),5.26,2.46,,,
50,Time of seed dispersal (season),5.28,summer,-,,
51,Annual seed dispersal,5.29,irregular,-,,
52,Seed weight: 3. mean (mg),5.34,7.4,,,
53,Seed production: 1. maximum (/flower),5.35,20,-,,
54,Seed production: 2. typical range (/flower),5.36,10-100,average 11,,
55,Dispersal agent,5.38,eaten by birds,-,,
56,Dispersal agent,5.38,eaten by mammals,,,
57,Time of germination (season),5.39,spring,-,,
58,Germination requirements 1. chilling,5.45,absolute,-,,
59,Germination requirements 2. light,5.46,none,-,,
60,Germination type,5.48,epigeal,-,,
61,Seed viability,5.49,much non-viable,-,,
62,Normal method of propagation,5.52,vegetative,-,,
63,Seedbank type,5.53,transient,-,,
64,Flower colour,5.58,White,,,
65,Petal no,5.59,5,,,
66,Petal (sepal) size (cm),5.6,1.25,1-1.5,,
67,Stigma number,5.61,numerous,,,
68,Stamen number,5.62,Numerous,,,
69,Sepal number,5.63,5,,,
70,Carpel/Style number,5.64,Numerous,,,
71,Inflorescence type,5.65,solitary,,,
72,Physical defences on leaves,6.02,soft hairs,-,,
73,Physical defences on stems,6.03,soft hairs,-,,
74,Rarity Status,7.02,Present,,,
75,Change Index,7.03,-0.47,,,
76,Biome,7.04,Boreal montane,,,
77,Eastern Limit,7.05,Circumpolar,,,
78,Continentality,7.06,Not continental,,,
79,Northern Limit in Britain,7.07,Yes,,,
80,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
81,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
82,Southern European Limit,7.1,No,,,
83,January mean temperature,7.11,1.1,,,
84,July mean temperature,7.12,12,,,
85,Annual precipitation,7.13,1594,,,
86,Ellenberg Indicator: Light,7.14,9,,,
87,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
88,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
89,Ellenberg : Moisture,7.15,7,,,
90,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
91,Ellenberg : Moisture,7.15,8,,Data calculated for Europe,
92,Ellenberg: pH,7.16,1,,,
93,Ellenberg: pH,7.16,2,,Data calculated for the Czech Republic,
94,Ellenberg: pH,7.16,2,,Data calculated for Europe,
95,Ellenberg Indicator: Nitrogen,7.17,1,,,
96,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for the Czech Republic,
97,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
98,Ellenberg Indicator: Salt,7.18,0,,,
99,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
100,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
101,Life Form: normal state,7.19,Hemicryptophyte,,,
102,Clonality: normal state,7.21,Rhizome far creeping,,,
103,Ellenberg: Temperature,7.23,3,,Data calculated for the Czech Republic,
104,Ellenberg: Temperature,7.23,3,,Data calculated for Europe,
105,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
