,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Salinity,1.05,saline,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,First historical record: 1. date,2.04,1597,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 4. continents where introduced,2.12,North America,-,-,
12,SN Index,2.13,1.17,-,-,
13,EW Index,2.14,3.19,-,-,
14,number of European countries in which native,2.17,25,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,decumbent,-,-,
17,Height: 3. typical maximum (cm),3.05,65,-,-,
18,Height: 4. typical minimum (cm),3.06,5,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf area (cm2),3.17,1-10,-,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,therophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
35,Flowering time: 1. earliest month,5.07,7,-,-,
36,Flowering time: 2. latest month,5.08,9,-,-,
37,Pollen vector,5.15,wind,-,-,
38,Dicliny,5.16,andromonoecious,,-,
39,Dicliny,5.16,gynomonoecious,-,-,
40,Dichogamy,5.17,homogamous,-,-,
41,Dichogamy,5.17,markedly protogynous,-,-,
42,Chromosome number(s): 1. number,5.25,18,,-,
43,2C DNA content (pg),5.26,1.27,2n=18,,
44,Dispersule size - length of longest axis (mm),5.3,1.5,seed,-,
45,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
46,Seed weight: 3. mean (mg),5.34,0.456,,,
47,Time of germination (season),5.39,spring,,-,
48,Normal method of propagation,5.52,seed,-,-,
49,Flower colour,5.58,green,0,,
50,Petal no,5.59,3,2-5,tepals,
51,Petal (sepal) size (cm),5.6,0.3,,,
52,Stigma number,5.61,2,3-5,,
53,Stamen number,5.62,2,3,,
54,Sepal number,5.63,0,,tepals,
55,Carpel/Style number,5.64,2,,,
56,Inflorescence type,5.65,cyme,,"small, (glomerules) in branched inflorescences",
57,Physical defences on leaves,6.02,soft hairs,-,-,
58,Physical defences on stems,6.03,soft hairs,-,-,
59,Conservation Status,7.01,Vulnerable,,,
60,Change Index,7.03,-2.60,,,
61,Biome,7.04,Southern Temperate,,,
62,Eastern Limit,7.05,Euro-Siberian,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,Southern European Limit,7.1,No Data,,,
66,January mean temperature,7.11,4.1,,,
67,July mean temperature,7.12,16,,,
68,Annual precipitation,7.13,752,,,
69,Ellenberg Indicator: Light,7.14,7,,,
70,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
71,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
72,Ellenberg : Moisture,7.15,4,,,
73,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
75,Ellenberg: pH,7.16,7,,,
76,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,7,,Data calculated for Europe,
78,Ellenberg Indicator: Nitrogen,7.17,9,,,
79,Ellenberg Indicator: Nitrogen,7.17,9,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Nitrogen,7.17,9,,Data calculated for Europe,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
83,Ellenberg Indicator: Salt,7.18,3,,Data calculated for the Czech Republic,
84,Life Form: normal state,7.19,Therophyte,,,
85,Clonality: normal state,7.21,Little or no vegetative spread,,,
86,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
87,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
88,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
