,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,400,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,First historical record: 1. date,2.04,1847,-,-,
7,First historical record: 2. site,2.05,Bristol,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,.83,-,-,
12,EW Index,2.14,6.08,-,-,
13,British distribution (post 1949 records),2.15,166,-,-,
14,number of European countries in which native,2.17,22,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 1. extreme maximum (cm),3.03,90,-,-,
18,Height: 3. typical maximum (cm),3.05,60,-,-,
19,Height: 4. typical minimum (cm),3.06,20,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,4,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,8,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,chamaephyte,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
39,Flowering time: 1. earliest month,5.07,7,-,-,
40,Flowering time: 2. latest month,5.08,9,-,-,
41,Pollen vector,5.15,selfed,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Fertilization,5.19,normally self,-,-,
44,Incompatibility systems,5.22,none,-,-,
45,Chromosome number(s): 1. number,5.25,36,-,-,
46,Seed size - length of longest axis (mm),5.31,1.0,dispersed with a plume of hairs,-,
47,Seed weight: 3. mean (mg),5.34,0.1124,,,
48,Normal method of propagation,5.52,seed and vegetative,-,-,
49,Normal method of propagation,5.52,seed and vegetative,-,-,
50,Flower colour,5.58,pink,,,
51,Petal no,5.59,4,,,
52,Petal (sepal) size (cm),5.6,0.7,0.6-0.8,,
53,Stigma number,5.61,4 lobed,,,
54,Stamen number,5.62,8,,,
55,Sepal number,5.63,4,,,
56,Carpel/Style number,5.64,1,,,
57,Inflorescence type,5.65,corymbose raceme,,terminal,
58,Physical defences on leaves,6.02,hairy,on leaf margins,-,
59,Physical defences on stems,6.03,stiff hairs,above,-,
60,Physical defences on stems,6.03,subglabrous,below,-,
61,Rarity Status,7.02,Present,,,
62,Change Index,7.03,0.07,,,
63,Biome,7.04,Mediterranean-Atlantic,,,
64,Eastern Limit,7.05,Suboceanic,,,
65,Continentality,7.06,Not continental,,,
66,Northern Limit in Britain,7.07,Yes,,,
67,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.1,No,,,
70,January mean temperature,7.11,4.4,,,
71,July mean temperature,7.12,16,,,
72,Annual precipitation,7.13,937,,,
73,Ellenberg Indicator: Light,7.14,7,,,
74,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
76,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
77,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
78,Ellenberg : Moisture,7.15,5,,,
79,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
80,Ellenberg: pH,7.16,3,,Data calculated for Europe,
81,Ellenberg: pH,7.16,6,,,
82,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,5,,,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
88,Life Form: normal state,7.19,Hemicryptophyte,,,
89,Clonality: normal state,7.21,Little or no vegetative spread,,,
90,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
91,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
92,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
