,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Shade,1.1,none,,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,frequent,-,-,
5,Range: 3. continents where native,2.11,Asia,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,2.3,-,-,
8,EW Index,2.14,3.82,-,-,
9,number of European countries in which native,2.17,27,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 2. extreme minimum (cm),3.04,30,-,-,
13,Height: 3. typical maximum (cm),3.05,70,-,-,
14,Height: 4. typical minimum (cm),3.06,50,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 2. outline,3.1,entire,,,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
23,Leaf shape: 6. petiole,3.14,sheathing,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Leaf area (cm2),3.17,0.1-1,-,-,
27,Stomata: 1. surfaces present,3.19,both,-,-,
28,Root system,3.24,adventitious,-,-,
29,Root persistence,3.3,>1,-,-,
30,Leaf folding,3.31,folded,,,
31,Ligule,3.33,0.1,minute,truncate,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Response to frost (non-woody tissue),4.09,sensitive,-,-,
37,Life-form,5.01,hemicryptophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
40,Flowering time: 1. earliest month,5.07,5,-,-,
41,Flowering time: 2. latest month,5.08,7,-,-,
42,Pollen: 2. diameter (um),5.13,30,19.2-45.6um,-,
43,Pollen viability,5.14,high,-,-,
44,Pollen vector,5.15,wind,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Dichogamy,5.17,homogamous,-,-,
47,Fertilization,5.19,apomictic,-,-,
48,Chromosome number(s): 1. number,5.25,46-63,,-,
49,Time of seed dispersal (season),5.28,summer,-,-,
50,Dispersule size - length of longest axis (mm),5.3,2.6,-,-,
51,Seed weight: 3. mean (mg),5.34,0.19,,,
52,Seed weight: 3. mean (mg),5.34,0.22,,,
53,Seed weight: 3. mean (mg),5.34,0.25,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Seedbank type,5.53,transient,-,-,
56,Maximum seedbank density (m2),5.54,83,-,-,
57,Minimum seedbank density (m2),5.55,83,-,-,
58,Mean seedbank density (m2),5.56,83,-,-,
59,Flower colour,5.58,green,"brown, purple, white",,
60,Petal no,5.59,0,,,
61,Petal (sepal) size (cm),5.6,0,,,
62,Stigma number,5.61,2,,,
63,Stamen number,5.62,3,,,
64,Sepal number,5.63,0,,,
65,Carpel/Style number,5.64,2,,,
66,Inflorescence type,5.65,panicle,,,
67,"Glume, upper",5.66,0.25,0.2-0.3,"ovate elliptic, 3-nerved",
68,Glume lower,5.67,0.2,0.15-0.25,"narrowly ovate, 1-nerved",
69,Palea,5.68,0.25,,,
70,Lemma,5.69,0.25,0.2-0.3,"narrowly oblong, obtuse or acute, 5-nerved",
71,Physical defences on leaves,6.02,glabrous,-,-,
72,Physical defences on flowers/fruits,6.04,soft hairs,lemma,-,
73,Rarity Status,7.02,Present,,,
74,Biome,7.04,Southern Temperate,,,
75,Eastern Limit,7.05,Circumpolar,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,"Northern European Limit (Lat,5C band)",7.08,>65,,,
79,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
80,Southern European Limit,7.1,No,,,
81,January mean temperature,7.11,3.7,,,
82,July mean temperature,7.12,16,,,
83,Annual precipitation,7.13,790,,,
84,Ellenberg Indicator: Light,7.14,7,,,
85,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,4x,,Data calculated for the Czech Republic,
88,Ellenberg : Moisture,7.15,5,,,
89,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
90,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,7,,,
92,Ellenberg: pH,7.16,,,Data calculated for Europe,
93,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
94,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Nitrogen,7.17,5,,,
96,Ellenberg Indicator: Salt,7.18,0,,,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
98,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
99,Life Form: normal state,7.19,Hemicryptophyte,,,
100,Clonality: normal state,7.21,Rhizome far creeping,,,
101,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
102,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
103,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
