,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil moisture: 1. water table,1.02,periodically high,var. intermedia,-,
2,Salinity,1.05,salt-affected,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,624,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,frequent,-,-,
9,First historical record: 1. date,2.04,1538,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Australasia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 3. continents where native,2.11,North America,-,-,
15,Range: 3. continents where native,2.11,South America,-,-,
16,SN Index,2.13,3.85,-,-,
17,EW Index,2.14,4.52,-,-,
18,number of European countries in which native,2.17,33,-,-,
19,Medicinal Use,2.18,bleeding,,,
20,Medicinal Use,2.18,burns,,,
21,Medicinal Use,2.18,corns,,,
22,Medicinal Use,2.18,coughs,,,
23,Medicinal Use,2.18,piles,,,
24,Medicinal Use,2.18,rashes,,,
25,Medicinal Use,2.18,stings,,,
26,Medicinal Use,2.18,swelling,,,
27,Medicinal Use,2.18,warts,,,
28,Stems: 1. woodiness,3.01,non-woody,-,-,
29,Stems: 2. support,3.02,self-supporting,-,-,
30,Height: 3. typical maximum (cm),3.05,60,-,-,
31,Spread,3.07,height = width,-,-,
32,Heterophylly,3.08,none,-,-,
33,Leaf shape: 1. type,3.09,simple,-,-,
34,Leaf shape: 2. outline,3.1,entire,-,-,
35,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
36,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
37,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
38,Leaf shape: 6. petiole,3.14,petiolate,-,-,
39,Leaf shape: 7. minimum petiole length (mm),3.15,50,-,-,
40,Leaf shape: 8. maximum petiole length (mm),3.16,200,-,-,
41,Leaf area (cm2),3.17,10-100,-,-,
42,Stomata: 1. surfaces present,3.19,both,,-,
43,Stomata: 2. density on lower surface(no/mm2),3.2,233,-,-,
44,Stomata: 3. density on upper surface (no/mm2),3.21,184,-,-,
45,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
46,Root system,3.24,adventitious,-,-,
47,Root system,3.24,fibrous,,-,
48,Root depth: 1. type,3.25,deep,-,-,
49,Root depth: 2. depth (cm),3.26,50-100,,-,
50,Fine root diameter (um),3.27,100-150,-,-,
51,Seedling growth rate - maximum (/d),4.01,0.23,-,-,
52,Photosynthetic pathway,4.02,C3,-,-,
53,Heavy metal resistance,4.05,none,-,-,
54,Carnivory,4.06,does not kill insects,-,-,
55,Nutrition,4.07,autotrophic,-,-,
56,Response to frost (non-woody tissue),4.09,sensitive,-,-,
57,Life-form,5.01,hemicryptophyte,-,-,
58,Longevity of stems (yrs),5.02,<1,-,-,
59,Age at first flowering,5.03,6-12 weeks,-,-,
60,Mono/poly-carpic,5.04,polycarpic,-,-,
61,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
62,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
63,Flowering time: 1. earliest month,5.07,5,-,-,
64,Flowering time: 2. latest month,5.08,9,-,-,
65,Flowering time: 3. peak month,5.09,6,-,-,
66,Flowering time: 3. peak month,5.09,7,-,-,
67,Photoperiodism: 1. type,5.1,long-day,,-,
68,Photoperiodism: 2. threshold value (h),5.11,13,,-,
69,Pollen: 2. diameter (um),5.13,19.8,-,-,
70,Pollen viability,5.14,high,-,-,
71,Pollen vector,5.15,wind,-,-,
72,Dicliny,5.16,gynodioecious,,-,
73,Dicliny,5.16,hermaphrodite,-,-,
74,Dichogamy,5.17,homogamous,-,-,
75,Dichogamy,5.17,protogynous,-,-,
76,Heteromorphy,5.18,dimorphic,heteranthery,-,
77,Fertilization,5.19,cross or automatic self,-,-,
78,Incompatibility systems,5.22,none,,-,
79,Pollen/ovule ratio,5.23,885,-,-,
80,Chromosome number(s): 1. number,5.25,12,,-,
81,Chromosome number(s): 1. number,5.25,12,,-,
82,2C DNA content (pg),5.26,1.42,2n=12,,
83,2C DNA content (pg),5.26,1.7,-,-,
84,Appendages on dispersal unit,5.27,mucilage,-,-,
85,Time of seed dispersal (season),5.28,spring,-,-,
86,Time of seed dispersal (season),5.28,summer,-,-,
87,Dispersule size - length of longest axis (mm),5.3,1.5,seed,-,
88,Dispersule size - length of longest axis (mm),5.3,3.1,seed,-,
89,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
90,Seed size - length of longest axis (mm),5.31,3.1,seed,-,
91,Seed weight: 1. maximum (mg),5.32,0.34,-,-,
