,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,365,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,Dynamics,2.03,declining,-,-,
9,First historical record: 1. date,2.04,1632,-,-,
10,First historical record: 2. site,2.05,"Sandwich, Kent",-,-,
11,Range: 3. continents where native,2.11,Africa,North Africa,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,3.17,-,-,
14,EW Index,2.14,3.56,-,-,
15,number of European countries in which native,2.17,27,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 1. extreme maximum (cm),3.03,30,-,-,
19,Height: 3. typical maximum (cm),3.05,15,-,-,
20,Height: 4. typical minimum (cm),3.06,2,-,-,
21,Spread,3.07,height = width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,entire,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sessile,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf area (cm2),3.17,0.1-1,,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,therophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
39,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
40,Flowering time: 1. earliest month,5.07,6,-,-,
41,Flowering time: 2. latest month,5.08,9,-,-,
42,Pollen vector,5.15,insect,-,-,
43,Dicliny,5.16,gynomonoecious,-,-,
44,Cleistogamy,5.2,pseudo-cleistogamous,in dull weather,-,
45,Chromosome number(s): 1. number,5.25,28,,-,
46,Appendages on dispersal unit,5.27,pappus,only on inner flowers,-,
47,Seed size - length of longest axis (mm),5.31,0.5,achenes from central florets,-,
48,Seed size - length of longest axis (mm),5.31,0.9,achenes from outer florets,-,
49,Seed weight: 3. mean (mg),5.34,0.02,,,
50,Seed weight: 3. mean (mg),5.34,0.03304,,,
51,Germination requirements 3. temperature fluctuation,5.47,none,,-,
52,Normal method of propagation,5.52,seed,-,-,
53,Seedbank type,5.53,long-term persistent,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Seedbank type,5.53,transient,-,-,
56,Maximum seedbank density (m2),5.54,200,-,-,
57,Minimum seedbank density (m2),5.55,38,-,-,
58,Mean seedbank density (m2),5.56,86.5,-,-,
59,Flower colour,5.58,white,brown,,
60,Petal no,5.59,5,many,flowers mistaken for petals,
61,Petal (sepal) size (cm),5.6,,,tubular,
62,Stigma number,5.61,2,,,
63,Stamen number,5.62,5,,fused into a tube,
64,Sepal number,5.63,0,many,sepaloid phyllaries,
65,Carpel/Style number,5.64,1,,,
66,Inflorescence type,5.65,capitulum,,,
67,Physical defences on leaves,6.02,soft hairs,-,-,
68,Physical defences on stems,6.03,soft hairs,-,-,
69,Rarity Status,7.02,Present,,,
70,Change Index,7.03,-0.91,,,
71,Biome,7.04,Temperate,,,
72,Eastern Limit,7.05,European,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,3.6,,,
79,July mean temperature,7.12,15,,,
80,Annual precipitation,7.13,904,,,
81,Ellenberg Indicator: Light,7.14,8,,,
82,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
84,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
85,Ellenberg : Moisture,7.15,2,,Data calculated for Europe,
86,Ellenberg : Moisture,7.15,3,,,
87,Ellenberg: pH,7.16,4,,,
88,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
89,Ellenberg: pH,7.16,4,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
91,Ellenberg Indicator: Nitrogen,7.17,2,,,
92,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Therophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
98,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
