,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Soil pH: 1. extreme maximum,1.06,7.32,-,-,
4,Water pH: 1. extreme maximum,1.06A,6.89,-,-,
5,Soil pH: 2. extreme minimum,1.07,4.7,-,-,
6,Water pH: 2. extreme minimum,1.07A,4.28,-,-,
7,Soil pH: 3. typical maximum,1.08,6.54,-,-,
8,Water pH: 3. typical maximum,1.08A,6.36,-,-,
9,Soil pH: 4. typical minimum,1.09,5.2,-,-,
10,Water pH: 4. typical minimum,1.09A,5.12,-,-,
11,Shade,1.10,light,-,-,
12,Shade,1.10,mid,-,-,
13,Shade,1.10,none,,-,
14,Altitude: 1. maximum recorded (m),1.12,411,-,-,
15,Altitude: 2. minimum recorded (m),1.13,0,-,-,
16,Altitude: 4. typical minimum (m),1.14,0,-,-,
17,Flow,1.15A,mid,-,-,
18,Flow,1.15A,nil,-,-,
19,Flow,1.15A,rapid,-,-,
20,Flow,1.15A,slight,-,-,
21,Status,2.01,native,-,-,
22,Typical abundance where naturally occurring,2.02,dominant,-,-,
23,First historical record: 1. date,2.04,1640,-,-,
24,First historical record: 2. site,2.05,London,-,-,
25,Range: 3. continents where native,2.11,Asia,-,-,
26,Range: 3. continents where native,2.11,Europe,-,-,
27,Range: 3. continents where native,2.11,Macaronesia,-,-,
28,Range: 3. continents where native,2.11,North America,-,-,
29,SN Index,2.13,3.52,-,-,
30,EW Index,2.14,4.52,-,-,
31,number of European countries in which native,2.17,28,-,-,
32,Stems: 1. woodiness,3.01,non-woody,-,-,
33,Stems: 2. support,3.02,self-supporting,-,-,
34,Height: 3. typical maximum (cm),3.05,200,-,-,
35,Height: 4. typical minimum (cm),3.06,60,-,-,
36,Spread,3.07,height > width,-,-,
37,Heterophylly,3.08,none,-,-,
38,Leaf shape: 1. type,3.09,simple,-,-,
39,Leaf shape: 2. outline,3.10,entire,-,-,
40,Leaf shape: 2. outline,3.10,entire,,,
41,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
42,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
43,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
44,Leaf shape: 6. petiole,3.14,sheathing,-,-,
45,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
46,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
47,Leaf area (cm2),3.17,10-100,-,-,
48,Stomata: 1. surfaces present,3.19,both,-,-,
49,Stomata: 2. density on lower surface(no/mm2),3.20,81,-,-,
50,Stomata: 3. density on upper surface (no/mm2),3.21,135,-,-,
51,Leaf longevity: 1. type,3.22,aestival,-,-,
52,Root system,3.24,fibrous,,,
53,Root depth: 1. type,3.25,deep,-,-,
54,Root persistence,3.30,>1,,-,
55,Ligule,3.33,0.755,0.25-1.16,"blunt, becoming torn",
56,Seedling growth rate - maximum (/d),4.01,0.177,-,-,
57,Photosynthetic pathway,4.02,C3,-,-,
58,Heavy metal resistance,4.05,pseudometallophyte,"Cd, Pb",-,
59,Carnivory,4.06,does not kill insects,-,-,
60,Nutrition,4.07,autotrophic,-,-,
61,Response to drought,4.08,resists,-,-,
62,Response to frost (non-woody tissue),4.09,resistant,-,-,
