,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,poor,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Salinity,1.05,salt tolerant,,,
3,First historical record: 1. date,2.04,1835,,,
4,First historical record: 2. site,2.05,85,,,
5,Range: 3. continents where native,2.11,Europe (Mediterranean),,,
6,Range: 4. continents where introduced,2.12,"Africa: north, Macaronesia, and south.","Asia-temperate: western Asia, China, and eastern Asia; Asia-tropical: Malesia.","Australasia: Australia. Pacific: north-central. North America: western Canada,",
7,Stems: 1. woodiness,3.01,non woody,,,
8,Stems: 2. support,3.02,self supporting,,,
9,Height: 1. extreme maximum (cm),3.03,70,,,
10,Height: 2. extreme minimum (cm),3.04,15,,,
11,Height: 3. typical maximum (cm),3.05,50,,,
12,Height: 4. typical minimum (cm),3.06,30,,,
13,Spread,3.07,height = width,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 3. pointed/round,3.11,pointed,,,
17,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
18,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
19,Leaf shape: 6. petiole,3.14,sheathing,,,
20,Leaf area (cm2),3.17,1-10,,,
21,Root system,3.24,fibrous,,,
22,Ligule,3.33,,,membrane,
23,Carnivory,4.06,does not kill insects,,,
24,Nutrition,4.07,autotrophic,,,
25,Longevity of stems (yrs),5.02,>1,sometimes 2,,
26,Mono/poly-carpic,5.04,monocarpic,,,
27,Vegetative reproduction/persistence: 1. method,5.05,none,,,
28,Cleistogamy,5.2,entirely cleistogamous,,,
29,Chromosome number(s): 1. number,5.25,42,,,
30,Time of seed dispersal (season),5.28,summer,,,
31,Annual seed dispersal,5.29,autumn,,,
32,Seedbank longevity,5.5,1-5 yrs,,,
33,Normal method of propagation,5.52,seed,,,
34,Flower colour,5.58,green,"brown, purple, white",,
35,Petal no,5.59,0,,,
36,Petal (sepal) size (cm),5.6,0,,,
37,Stigma number,5.61,2,,,
38,Stamen number,5.62,2,,,
39,Sepal number,5.63,0,,,
40,Carpel/Style number,5.64,2,,,
41,Inflorescence type,5.65,panicle,,"open, elliptic",
42,"Glume, upper",5.66,2.25,2-2.5,"lanceolate, acute, 3-nerved",
43,Glume lower,5.67,1.65,1.5-1.8,"linear, acute, 1 nerved",
44,Lemma,5.69,2.25,2-2.5,"lanceolate, acute, 2-toothed, 5-7 nerved, awn subapical, 2.5-4",
