,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Soil moisture: 2. drainage,1.03,slow-draining,-,-,
5,Salinity,1.05,fresh,-,-,
6,Soil pH: 3. typical maximum,1.08,7.7,-,-,
7,Soil pH: 4. typical minimum,1.09,5.4,-,-,
8,Shade,1.1,deep,-,-,
9,Shade,1.1,light,-,-,
10,Shade,1.1,mid,-,-,
11,Shade,1.1,none,-,-,
12,Exposure,1.11,indifferent,-,-,
13,Altitude: 1. maximum recorded (m),1.12,381,-,-,
14,Altitude: 2. minimum recorded (m),1.13,0,-,-,
15,Altitude: 4. typical minimum (m),1.14,0,-,-,
16,Status,2.01,native,-,-,
17,Dynamics,2.03,increasing,-,-,
18,First historical record: 1. date,2.04,1843,-,-,
19,First historical record: 1. date,2.04,1865,-,-,
20,First historical record: 2. site,2.05,Carnarvonshire,-,-,
21,Range: 3. continents where native,2.11,Africa,-,-,
22,Range: 3. continents where native,2.11,Asia,-,-,
23,Range: 3. continents where native,2.11,Europe,-,-,
24,Range: 4. continents where introduced,2.12,North America,-,-,
25,SN Index,2.13,3.04,-,-,
26,EW Index,2.14,4.5,-,-,
27,number of European countries in which native,2.17,29,-,-,
28,Medicinal Use,2.18,calming nerves,,,
29,Medicinal Use,2.18,cancer,,,
30,Medicinal Use,2.18,convulsions,,,
31,Medicinal Use,2.18,dropsy,,,
32,Medicinal Use,2.18,jaundice,,,
33,Medicinal Use,2.18,respiratory ailments,,,
34,Stems: 1. woodiness,3.01,non-woody,-,-,
35,Stems: 2. support,3.02,self-supporting,-,-,
36,Height: 1. extreme maximum (cm),3.03,220,-,-,
37,Height: 2. extreme minimum (cm),3.04,20,-,-,
38,Height: 3. typical maximum (cm),3.05,120,-,-,
39,Height: 3. typical maximum (cm),3.05,200,-,-,
40,Height: 4. typical minimum (cm),3.06,50,-,-,
41,Height: 4. typical minimum (cm),3.06,90,-,-,
42,Spread,3.07,height = width,-,-,
43,Heterophylly,3.08,none,-,-,
44,Leaf shape: 1. type,3.09,simple,-,-,
45,Leaf shape: 2. outline,3.1,toothed,-,-,
46,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
47,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
48,Leaf shape: 5. leaf base,3.13,cordate,-,-,
49,Leaf shape: 5. leaf base,3.13,rounded,-,-,
50,Leaf shape: 6. petiole,3.14,petiolate,-,-,
51,Leaf shape: 8. maximum petiole length (mm),3.16,600,,-,
52,Leaf area (cm2),3.17,10-100,-,-,
53,Leaf area (cm2),3.17,100-1000,-,-,
54,Stomata: 1. surfaces present,3.19,both,-,-,
55,Stomata: 1. surfaces present,3.19,lower,-,-,
56,Stomata: 2. density on lower surface(no/mm2),3.2,123.6,-,-,
