,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 3. supply,1.04,continuous,-,-,
3,Soil pH: 1. extreme maximum,1.06,6.0,-,-,
4,Soil pH: 2. extreme minimum,1.07,4.2,-,-,
5,Shade,1.1,light,-,-,
6,Shade,1.1,none,-,-,
7,Altitude: 1. maximum recorded (m),1.12,246,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,scattered,-,-,
12,Dynamics,2.03,declining,-,-,
13,First historical record: 1. date,2.04,1633,-,-,
14,First historical record: 2. site,2.05,Lincolnshire,-,-,
15,Range: 3. continents where native,2.11,Asia,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,SN Index,2.13,1.84,-,-,
18,EW Index,2.14,4.25,-,-,
19,British distribution (post 1949 records),2.15,50,-,-,
20,number of European countries in which native,2.17,21,-,-,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Stems: 2. support,3.02,self-supporting,-,-,
23,Height: 1. extreme maximum (cm),3.03,45,-,-,
24,Height: 2. extreme minimum (cm),3.04,7,-,-,
25,Height: 3. typical maximum (cm),3.05,40,-,-,
26,Height: 4. typical minimum (cm),3.06,10,-,-,
27,Spread,3.07,height > width,-,-,
28,Heterophylly,3.08,developmental,-,-,
29,Leaf shape: 1. type,3.09,simple,-,-,
30,Leaf shape: 2. outline,3.1,entire,-,-,
31,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
32,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
33,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
34,Leaf shape: 6. petiole,3.14,sessile,-,-,
35,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
36,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
37,Leaf area (cm2),3.17,0.1-1,-,-,
38,Root system,3.24,adventitious,-,-,
39,Photosynthetic pathway,4.02,C3,-,-,
40,Heavy metal resistance,4.05,none,-,-,
41,Carnivory,4.06,does not kill insects,-,-,
42,Nutrition,4.07,autotrophic,-,-,
43,Life-form,5.01,hemicryptophyte,-,-,
44,Longevity of stems (yrs),5.02,10-100,-,-,
