,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,7.54,-,-,
2,Water pH: 1. extreme maximum,1.06A,7.37,-,-,
3,Soil pH: 2. extreme minimum,1.07,4.3,-,-,
4,Water pH: 2. extreme minimum,1.07A,5.38,-,-,
5,Soil pH: 3. typical maximum,1.08,6.6,-,-,
6,Soil pH: 4. typical minimum,1.09,5.1,-,-,
7,Shade,1.10,mid,-,-,
8,Altitude: 1. maximum recorded (m),1.12,1188,-,-,
9,Status,2.01,native,-,-,
10,Typical abundance where naturally occurring,2.02,frequent,-,-,
11,Dynamics,2.03,increasing,-,-,
12,First historical record: 1. date,2.04,1690,-,-,
13,First historical record: 2. site,2.05,Warwickshire,-,-,
14,Range: 3. continents where native,2.11,Asia,-,-,
15,Range: 3. continents where native,2.11,Europe,-,-,
16,Range: 4. continents where introduced,2.12,North America,-,-,
17,SN Index,2.13,3.86,-,-,
18,EW Index,2.14,4.82,-,-,
19,number of European countries in which native,2.17,27,-,-,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,self-supporting,-,-,
22,Height: 3. typical maximum (cm),3.05,50,-,-,
23,Height: 4. typical minimum (cm),3.06,10,-,-,
24,Spread,3.07,height > width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,compound,-,-,
27,Leaf shape: 2. outline,3.10,lobed,-,-,
28,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
29,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf area (cm2),3.17,1-10,-,-,
33,Leaf longevity: 1. type,3.22,evergreen,-,-,
34,Root depth: 1. type,3.25,shallow,-,-,
35,Seedling growth rate - maximum (/d),4.01,0.144,-,-,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Rgr max,4.12,1.01,�0.09,,
41,rgr,4.13,1.01,�0.09,,
