,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,light,,,
3,Shade,1.1,none,,,
4,First historical record: 1. date,2.04,1838,1604 cultivation,,
5,First historical record: 2. site,2.05,17,,,
6,Range: 1. european countries where native,2.09,"Fr, Sp",,,
7,Range: 3. continents where native,2.11,Eu,,,
8,Stems: 1. woodiness,3.01,not woody,,,
9,Stems: 2. support,3.02,self supporting,,,
10,Height: 1. extreme maximum (cm),3.03,100,,,
11,Height: 2. extreme minimum (cm),3.04,10,,,
12,Height: 3. typical maximum (cm),3.05,80,,,
13,Height: 4. typical minimum (cm),3.06,30,,,
14,Spread,3.07,height > width,,,
15,Heterophylly,3.08,none,,,
16,Leaf shape: 1. type,3.09,simple,,,
17,Leaf shape: 2. outline,3.1,entire,,,
18,Leaf shape: 3. pointed/round,3.11,pointed,,,
19,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
20,Leaf shape: 5. leaf base,3.13,sheathing,,,
21,Leaf shape: 6. petiole,3.14,none,,,
22,Leaf shape: 7. minimum petiole length (mm),3.15,10-100,,,
23,Leaf longevity: 1. type,3.22,aestival,,,
24,Root system,3.24,fibrous,,,
25,Carnivory,4.06,does not kill insects,,,
26,Nutrition,4.07,autotrophic,,,
27,Life-form,5.01,Geophyte,bulb,,
28,Longevity of stems (yrs),5.02,<1,,,
29,Mono/poly-carpic,5.04,polycarpic,,,
30,Vegetative reproduction/persistence: 1. method,5.05,bulb,,,
31,Vegetative reproduction/persistence: 2. pattern,5.06,patch,,,
32,Flowering time: 1. earliest month,5.07,6,,,
33,Flowering time: 2. latest month,5.08,8,,,
34,Flowering time: 3. peak month,5.09,7,,,
35,Pollen vector,5.15,insect,,,
36,Dicliny,5.16,hermaphrodite,,,
37,Chromosome number(s): 1. number,5.25,14,,,
38,2C DNA content (pg),5.26,49.95,2n=14,,
39,Time of seed dispersal (season),5.28,autumn,,,
40,Normal method of propagation,5.52,seed and vegetative,,,
41,Flower colour,5.58,yellow,,,
42,Petal no,5.59,6,,tepals,
43,Petal (sepal) size (cm),5.6,1.05,0.9-1.2,,
44,Stigma number,5.61,1,,,
45,Stamen number,5.62,6,,,
46,Sepal number,5.63,0,,tepals,
47,Carpel/Style number,5.64,1,,,
48,Inflorescence type,5.65,umbel,,terminal,
49,Physical defences on leaves,6.02,glabrous,,,
50,Physical defences on stems,6.03,glabrous,,,
51,Physical defences on flowers/fruits,6.04,glabrous,,,
