,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1100,-,-,
4,Altitude: 2. minimum recorded (m),1.13,121,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,frequent,-,-,
7,First historical record: 1. date,2.04,1677,-,-,
8,First historical record: 2. site,2.05,Cheviot Hills,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,SN Index,2.13,7.13,-,-,
11,EW Index,2.14,3.74,-,-,
12,number of European countries in which native,2.17,20,-,-,
13,Medicinal Use,2.18,eye wash,,,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,decumbent,-,-,
16,Height: 1. extreme maximum (cm),3.03,30,-,-,
17,Height: 3. typical maximum (cm),3.05,20,-,-,
18,Height: 4. typical minimum (cm),3.06,10,-,-,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,toothed,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf area (cm2),3.17,0.1-1,-,-,
28,Stomata: 1. surfaces present,3.19,both,,-,
29,Stomata: 1. surfaces present,3.19,stem,sparse,-,
30,Stomata: 2. density on lower surface(no/mm2),3.2,184,,-,
31,Stomata: 3. density on upper surface (no/mm2),3.21,153,,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Age at first flowering,5.03,6-12 weeks,,-,
39,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,,-,
40,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
42,Flowering time: 1. earliest month,5.07,7,-,-,
43,Flowering time: 2. latest month,5.08,8,-,-,
44,Pollen vector,5.15,selfed,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Dichogamy,5.17,homogamous,-,-,
47,Dichogamy,5.17,weakly protogynous,-,-,
48,Fertilization,5.19,normally self,-,-,
49,Incompatibility systems,5.22,none,-,-,
50,Chromosome number(s): 1. number,5.25,36,,-,
51,Appendages on dispersal unit,5.27,pappus,,-,
52,Seed size - length of longest axis (mm),5.31,1.5,seed dispersed with a plume of hairs,-,
53,Seed weight: 3. mean (mg),5.34,0.1136,,,
54,Seed production: 3. typical range (/plant),5.37,100-1000,,-,
55,Dispersal agent,5.38,carried by mammals,,-,
56,Dispersal agent,5.38,water,,-,
57,Dispersal agent,5.38,wind,,-,
58,Seed viability,5.49,much non-viable,,-,
59,Flower colour,5.58,pink,,,
60,Petal no,5.59,4,,,
61,Petal (sepal) size (cm),5.6,0.85,0.7-1,,
62,Stigma number,5.61,1,,,
63,Stamen number,5.62,8,,,
64,Sepal number,5.63,4,,,
65,Carpel/Style number,5.64,1,,,
66,Inflorescence type,5.65,corymbose raceme,,terminal,
67,Physical defences on leaves,6.02,glabrous,-,-,
68,Physical defences on stems,6.03,glabrous,-,-,
69,Rarity Status,7.02,Present,,,
70,Change Index,7.03,-0.41,,,
71,Biome,7.04,Arctic Montane,,,
72,Eastern Limit,7.05,European,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,>65,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,1,,,
79,July mean temperature,7.12,12,,,
80,Annual precipitation,7.13,1832,,,
81,Ellenberg Indicator: Light,7.14,8,,,
82,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
84,Ellenberg : Moisture,7.15,9,,,
85,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
87,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
88,Ellenberg: pH,7.16,6,,,
89,Ellenberg: pH,7.16,6,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,4,,,
91,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Hemicryptophyte,,,
97,Clonality: normal state,7.21,Rhizome shortly creeping,,,
98,Ellenberg: Temperature,7.23,2,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,2,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
