,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,6.96,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.56,-,-,
3,Water pH: 1. extreme maximum,1.06A,6.5,-,-,
4,Water pH: 1. extreme maximum,1.06A,8.26,-,-,
5,Soil pH: 2. extreme minimum,1.07,3.62,-,-,
6,Soil pH: 2. extreme minimum,1.07,5.08,-,-,
7,Water pH: 2. extreme minimum,1.07A,3.81,-,-,
8,Water pH: 2. extreme minimum,1.07A,5.1,-,-,
9,Soil pH: 3. typical maximum,1.08,6.01,-,-,
10,Soil pH: 3. typical maximum,1.08,7.34,-,-,
11,Water pH: 3. typical maximum,1.08A,5.94,-,-,
12,Water pH: 3. typical maximum,1.08A,7.16,-,-,
13,Soil pH: 4. typical minimum,1.09,4.73,-,-,
14,Soil pH: 4. typical minimum,1.09,6.16,-,-,
15,Water pH: 4. typical minimum,1.09A,4.84,-,-,
16,Water pH: 4. typical minimum,1.09A,6.2,-,-,
17,Shade,1.10,none,-,-,
18,Altitude: 1. maximum recorded (m),1.12,396,-,-,
19,Altitude: 2. minimum recorded (m),1.13,0,-,-,
20,Altitude: 4. typical minimum (m),1.14,0,-,-,
21,Status,2.01,native,-,-,
22,Status,2.01,native,-,-,
23,Status,2.01,native,-,-,
24,Typical abundance where naturally occurring,2.02,frequent,-,-,
25,Range: 3. continents where native,2.11,Africa,-,-,
26,Range: 3. continents where native,2.11,Europe,-,-,
27,Range: 3. continents where native,2.11,Europe,-,-,
28,Range: 3. continents where native,2.11,Europe,-,-,
29,Range: 3. continents where native,2.11,North America,-,-,
30,Stems: 1. woodiness,3.01,non-woody,-,-,
31,Stems: 1. woodiness,3.01,non-woody,-,-,
32,Stems: 1. woodiness,3.01,non-woody,-,-,
33,Stems: 2. support,3.02,self-supporting,-,-,
34,Stems: 2. support,3.02,self-supporting,-,-,
35,Stems: 2. support,3.02,self-supporting,-,-,
36,Height: 1. extreme maximum (cm),3.03,40,-,-,
37,Height: 1. extreme maximum (cm),3.03,40,-,-,
38,Height: 1. extreme maximum (cm),3.03,75,-,-,
39,Height: 2. extreme minimum (cm),3.04,10,-,-,
40,Height: 3. typical maximum (cm),3.05,20,-,-,
41,Height: 3. typical maximum (cm),3.05,20,-,-,
42,Height: 3. typical maximum (cm),3.05,60,-,-,
43,Height: 4. typical minimum (cm),3.06,2,-,-,
44,Height: 4. typical minimum (cm),3.06,20,-,-,
45,Height: 4. typical minimum (cm),3.06,5,-,-,
46,Spread,3.07,height = width,-,-,
47,Spread,3.07,height = width,-,-,
48,Spread,3.07,height = width,-,-,
49,Heterophylly,3.08,none,-,-,
50,Heterophylly,3.08,none,-,-,
51,Heterophylly,3.08,none,-,-,
52,Leaf shape: 1. type,3.09,simple,-,-,
53,Leaf shape: 1. type,3.09,simple,-,-,
54,Leaf shape: 1. type,3.09,simple,-,-,
55,Leaf shape: 2. outline,3.10,entire,-,-,
56,Leaf shape: 2. outline,3.10,entire,-,-,
57,Leaf shape: 2. outline,3.10,entire,-,-,
58,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
59,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
60,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
61,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
62,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
63,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
64,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
65,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
66,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
67,Leaf shape: 6. petiole,3.14,sheathing,-,-,
68,Leaf shape: 6. petiole,3.14,sheathing,-,-,
69,Leaf shape: 6. petiole,3.14,sheathing,-,-,
70,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
71,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
72,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
73,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
74,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
75,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
76,Leaf area (cm2),3.17,1-10,-,-,
77,Leaf longevity: 1. type,3.22,evergreen,-,-,
78,Photosynthetic pathway,4.02,C3,-,-,
79,Heavy metal resistance,4.05,none,-,-,
80,Carnivory,4.06,does not kill insects,-,-,
81,Nutrition,4.07,autotrophic,-,-,
82,Life-form,5.01,hemicryptophyte,-,-,
83,Life-form,5.01,hemicryptophyte,-,-,
84,Life-form,5.01,hemicryptophyte,-,-,
85,Longevity of stems (yrs),5.02,<1,-,-,
86,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
87,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
88,Flowering time: 1. earliest month,5.07,5,-,-,
89,Flowering time: 1. earliest month,5.07,6,-,-,
90,Flowering time: 1. earliest month,5.07,7,-,-,
