,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Soil pH: 1. extreme maximum,1.06,6.5,-,-,
4,Soil pH: 2. extreme minimum,1.07,4.7,-,-,
5,Soil pH: 3. typical maximum,1.08,6.5,-,-,
6,Soil pH: 4. typical minimum,1.09,4.7,-,-,
7,Shade,1.1,none,-,-,
8,Altitude: 1. maximum recorded (m),1.12,240,-,-,
9,Altitude: 2. minimum recorded (m),1.13,15,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,scattered,-,-,
12,Dynamics,2.03,declining,-,-,
13,First historical record: 1. date,2.04,1796,-,-,
14,First historical record: 2. site,2.05,"Pendarvis, Cornwall",-,-,
15,Range: 3. continents where native,2.11,Europe,-,-,
16,SN Index,2.13,.73,-,-,
17,EW Index,2.14,7.89,-,-,
18,British distribution (post 1949 records),2.15,71,-,-,
19,number of European countries in which native,2.17,5,-,-,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,self-supporting,-,-,
22,Height: 3. typical maximum (cm),3.05,20,-,-,
23,Height: 4. typical minimum (cm),3.06,4,-,-,
24,Spread,3.07,height = width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,crenate,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
31,Leaf shape: 5. leaf base,3.13,rounded,-,-,
32,Leaf shape: 5. leaf base,3.13,truncate,-,-,
33,Leaf shape: 6. petiole,3.14,petiolate,-,-,
34,Leaf area (cm2),3.17,1-10,-,-,
35,Root system,3.24,adventitious,-,-,
36,Root depth: 2. depth (cm),3.26,0-10,may reach to 15cm,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Response to frost (non-woody tissue),4.09,resistant,-,-,
42,Life-form,5.01,hemicryptophyte,-,-,
43,Longevity of stems (yrs),5.02,<1,-,-,
44,Mono/poly-carpic,5.04,polycarpic,-,-,
45,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
46,Flowering time: 1. earliest month,5.07,5,-,-,
47,Flowering time: 2. latest month,5.08,6,-,-,
48,Pollen vector,5.15,insect,-,-,
49,Dicliny,5.16,hermaphrodite,-,-,
50,Fertilization,5.19,cross and self,-,-,
51,Cleistogamy,5.2,some cleistogamous flowers,-,-,
52,Incompatibility systems,5.22,none,-,-,
53,Chromosome number(s): 1. number,5.25,58,-,-,
54,Appendages on dispersal unit,5.27,elaiosome,-,-,
55,Time of seed dispersal (season),5.28,summer,-,-,
56,Annual seed dispersal,5.29,regular,-,-,
57,Dispersule size - length of longest axis (mm),5.3,1.5,seed,-,
58,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
59,Seed weight: 3. mean (mg),5.34,0.9204,,,
60,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
61,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
62,Dispersal agent,5.38,ants,-,-,
63,Dispersal agent,5.38,explosive mechanism,-,-,
64,Time of germination (season),5.39,spring,in a greenhouse experiment,-,
65,Germination requirements 1. chilling,5.45,partial,increased % germination,-,
66,Normal method of propagation,5.52,seed,-,-,
67,Normal method of propagation,5.52,seed,-,-,
68,Flower colour,5.58,pale grey violet,spur: yellow-green,,
69,Petal no,5.59,5,,,
70,Petal (sepal) size (cm),5.6,0.8,0.6-1,,
71,Stigma number,5.61,1,,,
72,Stamen number,5.62,5,,,
73,Sepal number,5.63,5,,,
74,Carpel/Style number,5.64,1,,,
75,Inflorescence type,5.65,solitary,,"axillary, from basal rosette",
76,Physical defences on leaves,6.02,subglabrous,-,-,
77,Physical defences on stems,6.03,subglabrous,-,-,
78,Rarity Status,7.02,Scarce,,,
79,Change Index,7.03,-1.08,,,
80,Biome,7.04,Temperate,,,
81,Eastern Limit,7.05,Oceanic,,,
82,Continentality,7.06,Not continental,,,
83,Northern Limit in Britain,7.07,Yes,,,
84,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
85,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
86,Southern European Limit,7.1,No,,,
87,January mean temperature,7.11,5,,,
88,July mean temperature,7.12,16,,,
89,Annual precipitation,7.13,1025,,,
90,Ellenberg Indicator: Light,7.14,7,,,
91,Ellenberg : Moisture,7.15,6,,,
92,Ellenberg: pH,7.16,2,,,
93,Ellenberg Indicator: Nitrogen,7.17,2,,,
94,Ellenberg Indicator: Salt,7.18,0,,,
95,Life Form: normal state,7.19,Hemicryptophyte,,,
96,Clonality: normal state,7.21,Little or no vegetative spread,,,
