,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 2. drainage,1.03,free draining,,,
3,Shade,1.1,none,,,
4,First historical record: 1. date,2.04,1906,,,
5,First historical record: 2. site,2.05,N. Lincolnshire,,,
6,Range: 3. continents where native,2.11,Europe,,,
7,Range: 3. continents where native,2.11,N. Africa,,,
8,Height: 3. typical maximum (cm),3.05,80,,,
9,Leaf shape: 1. type,3.09,compound,,pinnate,
10,Leaf shape: 2. outline,3.1,dentate,,,
11,Leaf shape: 3. pointed/round,3.11,1-3 x as long as broad,,,
12,Leaf shape: 3. pointed/round,3.11,pointed,,,
13,Leaf shape: 5. leaf base,3.13,narrow,,,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Carnivory,4.06,does not kill insects,,,
16,Nutrition,4.07,autotrophic,,,
17,Life-form,5.01,Chamaephyte,herbaceous,,
18,Mono/poly-carpic,5.04,polycarpic,,,
19,Vegetative reproduction/persistence: 1. method,5.05,stolons,,,
20,Vegetative reproduction/persistence: 2. pattern,5.06,patch,,,
21,2C DNA content (pg),5.26,6.50,2n=18,,
22,Seed weight: 3. mean (mg),5.34,0.2908,,,
23,Flower colour,5.58,white,,,
24,Petal no,5.59,5,many,flowers mistaken for petals,
25,Stigma number,5.61,2,,,
26,Stamen number,5.62,5,,fused into a tube,
27,Sepal number,5.63,0,many,sepaloid phyllaries,
28,Carpel/Style number,5.64,1,,,
29,Inflorescence type,5.65,capitulum,,dense terminal corymb,
