,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very infertile,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,381,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Dynamics,2.03,declining,-,-,
9,First historical record: 1. date,2.04,1670,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 4. continents where introduced,2.12,Australasia,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,3.23,-,-,
14,EW Index,2.14,5.79,-,-,
15,number of European countries in which native,2.17,7,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,decumbent,-,-,
18,Height: 3. typical maximum (cm),3.05,45,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,developmental,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,toothed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 5. leaf base,3.13,sagittate,-,-,
28,Leaf shape: 6. petiole,3.14,clasping,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
31,Leaf longevity: 1. type,3.22,evergreen,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
39,Flowering time: 1. earliest month,5.07,5,-,-,
40,Chromosome number(s): 1. number,5.25,16,-,-,
41,Appendages on dispersal unit,5.27,mucilage,cf. source no 888 - no mucilage production,-,
42,Dispersule size - length of longest axis (mm),5.3,2.0,seed,-,
43,Seed size - length of longest axis (mm),5.31,2.0,seed,-,
44,Seed weight: 3. mean (mg),5.34,0.1632,,,
45,Seed weight: 3. mean (mg),5.34,2.1644,,,
46,Seed weight: 3. mean (mg),5.34,3.0832,,,
47,Flower colour,5.58,white,,,
48,Petal no,5.59,4,,,
49,Petal (sepal) size (cm),5.6,0.325,0.3-0.35,,
50,Stigma number,5.61,2,capitate,,
51,Stamen number,5.62,6,,,
52,Sepal number,5.63,4,,,
53,Carpel/Style number,5.64,1,,,
54,Inflorescence type,5.65,raceme,,,
55,Physical defences on leaves,6.02,soft hairs,-,-,
56,Physical defences on stems,6.03,soft hairs,-,-,
57,Physical defences on flowers/fruits,6.04,soft hairs,fruit,-,
58,Rarity Status,7.02,Present,,,
59,Change Index,7.03,-0.51,,,
60,Biome,7.04,Southern Temperate,,,
61,Eastern Limit,7.05,Oceanic,,,
62,Continentality,7.06,Not continental,,,
63,Northern Limit in Britain,7.07,Yes,,,
64,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
65,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
66,Southern European Limit,7.1,No,,,
67,January mean temperature,7.11,3.8,,,
68,July mean temperature,7.12,15,,,
69,Annual precipitation,7.13,1074,,,
70,Ellenberg Indicator: Light,7.14,7,,,
71,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
73,Ellenberg : Moisture,7.15,4,,,
74,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
75,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
76,Ellenberg: pH,7.16,5,,,
77,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
78,Ellenberg: pH,7.16,6,,Data calculated for Europe,
79,Ellenberg Indicator: Nitrogen,7.17,4,,,
80,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
81,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Salt,7.18,0,,,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
84,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
85,Life Form: normal state,7.19,Hemicryptophyte,,,
86,Clonality: normal state,7.21,Little or no vegetative spread,,,
87,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
88,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
89,Ellenberg: Continetality,7.24,1,,Data calculated for Europe,
