,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.3,-,-,
3,Soil pH: 2. extreme minimum,1.07,5.8,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,1173,-,-,
6,Altitude: 2. minimum recorded (m),1.13,685,-,-,
7,Status,2.01,native,-,-,
8,First historical record: 1. date,2.04,1813,-,-,
9,First historical record: 2. site,2.05,Scottish Highlands,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,5.42,-,-,
15,EW Index,2.14,2.47,-,-,
16,number of European countries in which native,2.17,13,-,-,
17,Medicinal Use,2.18,coughs,,,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 1. extreme maximum (cm),3.03,23,-,-,
21,Height: 2. extreme minimum (cm),3.04,2,-,-,
22,Height: 3. typical maximum (cm),3.05,20,-,-,
23,Height: 4. typical minimum (cm),3.06,5,-,-,
24,Spread,3.07,height = width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,entire,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,rounded,-,-,
31,Leaf shape: 6. petiole,3.14,sessile,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
34,Stomata: 1. surfaces present,3.19,both,-,-,
35,Stomata: 2. density on lower surface(no/mm2),3.2,245,-,-,
36,Stomata: 3. density on upper surface (no/mm2),3.21,145,-,-,
37,Root depth: 1. type,3.25,shallow,-,-,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Response to frost (non-woody tissue),4.09,very resistant,-,-,
43,Life-form,5.01,hemicryptophyte,-,-,
44,Longevity of stems (yrs),5.02,<1,-,-,
45,Age at first flowering,5.03,1-2 yrs,-,-,
46,Mono/poly-carpic,5.04,polycarpic,-,-,
47,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
48,Flowering time: 1. earliest month,5.07,6,-,-,
49,Flowering time: 2. latest month,5.08,9,-,-,
50,Flowering time: 3. peak month,5.09,6,-,-,
51,Flowering time: 3. peak month,5.09,7,-,-,
52,Pollen vector,5.15,insect,-,-,
53,Dicliny,5.16,hermaphrodite,-,-,
54,Dichogamy,5.17,homogamous,-,-,
55,Fertilization,5.19,cross or automatic self,-,-,
56,Cleistogamy,5.2,cleistogamy not recorded,-,-,
57,Incompatibility systems,5.22,none,-,-,
58,Chromosome number(s): 1. number,5.25,24,,-,
59,Chromosome number(s): 1. number,5.25,48,,-,
60,Chromosome number(s): 1. number,5.25,70,,-,
61,Chromosome number(s): 1. number,5.25,72,,-,
62,Time of seed dispersal (season),5.28,summer,-,-,
63,Dispersule size - length of longest axis (mm),5.3,1.8,nutlet,-,
64,Seed size - length of longest axis (mm),5.31,1.8,nutlet,-,
65,Seed weight: 3. mean (mg),5.34,0.51,,-,
66,Seed weight: 3. mean (mg),5.34,0.8,,,
67,Seed production: 1. maximum (/flower),5.35,4,-,-,
68,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
69,Seed production: 3. typical range (/plant),5.37,10-100,up to 120,-,
70,Dispersal agent,5.38,unspecialised,-,-,
71,Time of germination (season),5.39,spring,-,-,
72,Germination requirements 1. chilling,5.45,none,-,-,
73,Germination type,5.48,epigeal,-,-,
74,Normal method of propagation,5.52,seed,-,-,
75,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
76,Seedbank type,5.53,transient,-,-,
77,Maximum seedbank density (m2),5.54,30,-,-,
78,Minimum seedbank density (m2),5.55,13,-,-,
79,Mean seedbank density (m2),5.56,22,-,-,
80,Flower colour,5.58,blue,pink,,
81,Petal no,5.59,5,,fused,
82,Petal (sepal) size (cm),5.6,0.3,0.2-0.4,lobes,
83,Stigma number,5.61,1,,,
84,Stamen number,5.62,5,,,
85,Sepal number,5.63,5,,,
86,Carpel/Style number,5.64,1,,,
87,Inflorescence type,5.65,cyme,,"terminal, scorpioidal, short",
88,Physical defences on leaves,6.02,hairy,-,-,
89,Physical defences on stems,6.03,stiff hairs,-,-,
