,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,mesotrophic,-,-,
1,Water nutrients,1.01A,oligotrophic,-,-,
2,Water nutrients,1.01A,oligotrophic,-,-,
3,Salinity,1.05,fresh,-,-,
4,Shade,1.10,none,-,-,
5,Maximum depth of leaves,1.10A,>0.5m,-,-,
6,Altitude: 1. maximum recorded (m),1.12,716,-,-,
7,Altitude: 1. maximum recorded (m),1.12,780,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Flow,1.15A,mid,-,-,
11,Flow,1.15A,mid,-,-,
12,Flow,1.15A,nil,-,-,
13,Flow,1.15A,nil,-,-,
14,Flow,1.15A,rapid,-,-,
15,Flow,1.15A,rapid,-,-,
16,Flow,1.15A,slight,-,-,
17,Flow,1.15A,slight,-,-,
18,Status,2.01,native,-,-,
19,Dynamics,2.03,increasing,-,-,
20,First historical record: 1. date,2.04,1699,-,-,
21,First historical record: 2. site,2.05,"Reading, Berks",-,-,
22,Range: 3. continents where native,2.11,Europe,-,-,
23,Range: 3. continents where native,2.11,North America,-,-,
24,SN Index,2.13,5.77,-,-,
25,EW Index,2.14,5.24,-,-,
26,British distribution (post 1949 records),2.15,656,-,-,
27,number of European countries in which native,2.17,23,-,-,
28,Stems: 1. woodiness,3.01,non-woody,-,-,
29,Leaf position,3.02A,submerged,-,-,
30,Height: 3. typical maximum (cm),3.05,120,-,-,
31,Height: 4. typical minimum (cm),3.06,20,-,-,
32,Spread,3.07,not applicable,aquatic,-,
33,Heterophylly,3.08,none,-,-,
34,Leaf shape: 1. type,3.09,compound,-,-,
35,Leaf shape: 2. outline,3.10,entire,-,-,
36,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
37,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
38,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
39,Photosynthetic pathway,4.02,C3,-,-,
40,Heavy metal resistance,4.05,none,-,-,
41,Carnivory,4.06,does not kill insects,-,-,
42,Nutrition,4.07,autotrophic,-,-,
43,Life-form,5.01,hydrophyte,-,-,
44,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
45,Flowering time: 1. earliest month,5.07,5,-,-,
46,Flowering time: 2. latest month,5.08,8,-,-,
47,Pollen vector,5.15,wind,-,-,
48,Pollen vector,5.15,wind,-,-,
49,Dicliny,5.16,gynoandromonoecious,"male, female and hermaphrodite flowers on one plant",-,
50,Chromosome number(s): 1. number,5.25,14,,-,
51,2C DNA content (pg),5.26,1.10,2n=28,,
52,Dispersule size - length of longest axis (mm),5.30,1.8,nutlet,-,
53,Seed size - length of longest axis (mm),5.31,1.8,nutlet,-,
54,Seed weight: 3. mean (mg),5.34,0.6148,,,
55,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
56,Flower colour,5.58,yellow,red,,
57,Petal no,5.59,0,male,,
58,Petal no,5.59,4,female,,
59,Petal (sepal) size (cm),5.60,0.25,,,
60,Stigma number,5.61,4,,,
61,Stamen number,5.62,0,female,,
62,Stamen number,5.62,8,male,,
63,Sepal number,5.63,4,,,
64,Carpel/Style number,5.64,0,male,,
65,Carpel/Style number,5.64,4,female,,
66,Inflorescence type,5.65,spike,,"bracteate, lfy, axillary, terminal",
67,Physical defences on leaves,6.02,glabrous,-,-,
68,Physical defences on stems,6.03,glabrous,-,-,
69,Rarity Status,7.02,Present,,,
70,Change Index,7.03,1.00,,,
71,Biome,7.04,Boreo-Temperate,,,
72,Eastern Limit,7.05,Suboceanic,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,>65,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.10,No,,,
78,January mean temperature,7.11,3.2,,,
79,July mean temperature,7.12,14,,,
80,Annual precipitation,7.13,1299,,,
81,Ellenberg Indicator: Light,7.14,7,,,
82,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
84,Ellenberg : Moisture,7.15,12,,,
85,Ellenberg : Moisture,7.15,12,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,12,,Data calculated for Europe,
87,Ellenberg: pH,7.16,5,,,
88,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
89,Ellenberg: pH,7.16,6,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,3,,,
91,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Perennial hydrophyte,,,
97,Clonality: normal state,7.21,Irregularly fragmenting (mainly water plants),,,
98,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
