,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Soil moisture: 3. supply,1.04,intermittent,-,-,
4,Salinity,1.05,fresh,-,-,
5,Soil pH: 1. extreme maximum,1.06,8.0,-,-,
6,Soil pH: 3. typical maximum,1.08,7.6,-,-,
7,Shade,1.1,light,-,-,
8,Shade,1.1,none,-,-,
9,Exposure,1.11,indifferent,-,-,
10,Altitude: 1. maximum recorded (m),1.12,195,-,-,
11,Altitude: 2. minimum recorded (m),1.13,0,-,-,
12,Altitude: 4. typical minimum (m),1.14,0,-,-,
13,Status,2.01,native,-,-,
14,Typical abundance where naturally occurring,2.02,frequent,-,-,
15,Dynamics,2.03,stable,-,-,
16,First historical record: 1. date,2.04,1597,-,-,
17,First historical record: 2. site,2.05,"Greenhithe, Kent",-,-,
18,Range: 3. continents where native,2.11,Africa,-,-,
19,Range: 3. continents where native,2.11,Asia,-,-,
20,Range: 3. continents where native,2.11,Europe,-,-,
21,SN Index,2.13,1.93,-,-,
22,EW Index,2.14,3.82,-,-,
23,number of European countries in which native,2.17,24,-,-,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 1. extreme maximum (cm),3.03,60,-,-,
27,Height: 2. extreme minimum (cm),3.04,12,-,-,
28,Height: 3. typical maximum (cm),3.05,45,-,-,
29,Height: 4. typical minimum (cm),3.06,15,-,-,
30,Spread,3.07,height > width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.1,entire,-,-,
34,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
35,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
37,Leaf shape: 6. petiole,3.14,sheathing,-,-,
38,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
39,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
40,Leaf area (cm2),3.17,1-10,-,-,
41,Leaf lamina thickness: 1. range,3.18,<0.2,-,-,
42,Stomata: 1. surfaces present,3.19,lower,-,-,
43,Stomata: 2. density on lower surface(no/mm2),3.2,81,-,-,
