,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 1. water table,1.02,high,,,
2,Soil moisture: 2. drainage,1.03,free draining,,,
3,Shade,1.1,none,,,
4,Shade,1.1,partial,,,
5,First historical record: 1. date,2.04,1917,cult 1714,,
6,First historical record: 2. site,2.05,N. Somerset,,,
7,Range: 3. continents where native,2.11,N. America,,,
8,Range: 3. continents where native,2.11,N. America,,,
9,Stems: 1. woodiness,3.01,not woody,,,
10,Stems: 1. woodiness,3.01,woody at base,,,
11,Stems: 2. support,3.02,self supporting,,,
12,Height: 3. typical maximum (cm),3.05,76,,,
13,Spread,3.07,height = width,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 2. outline,3.1,toothed,remotely,,
18,Leaf shape: 3. pointed/round,3.11,pointed,,,
19,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
20,Leaf shape: 5. leaf base,3.13,attenuate,cuneate,,
21,Leaf shape: 6. petiole,3.14,petiolate,sessile (cauline),,
22,Leaf area (cm2),3.17,10-100,,,
23,Root system,3.24,tap,fibrous,,
24,Carnivory,4.06,does not kill insects,,,
25,Nutrition,4.07,autotrophic,,,
26,Life-form,5.01,Therophyte,Hemicryptophyte,,
27,Longevity of stems (yrs),5.02,1-2,,,
28,Longevity of stems (yrs),5.02,<1,,,
29,Mono/poly-carpic,5.04,monocarpic,,,
30,Mono/poly-carpic,5.04,polycarpic,,,
31,Flowering time: 1. earliest month,5.07,7,,,
32,Flowering time: 2. latest month,5.08,9,,,
33,Flowering time: 3. peak month,5.09,8,,,
34,Pollen vector,5.15,insect,,,
35,Dicliny,5.16,hermaphrodite,,,
36,2C DNA content (pg),5.26,13.00,,,
37,Annual seed dispersal,5.29,regular,,,
38,Seed size - length of longest axis (mm),5.31,2.1,1.5-1.7,,
39,Seed weight: 3. mean (mg),5.34,0.3,,,
40,Seed weight: 3. mean (mg),5.34,0.31,,,
41,Seed production: 3. typical range (/plant),5.37,1615,,,
42,Dispersal agent,5.38,38,,,
43,Dispersal agent,5.38,autumn,,,
44,Normal method of propagation,5.52,seed,,,
45,Flower colour,5.58,brown,purple,disk florets,
46,Flower colour,5.58,yellow,,ray florets,
47,Petal no,5.59,5,many,flowers mistaken for petals,
48,Petal (sepal) size (cm),5.6,0.17,0.12-0.22,disk florets,
49,Petal (sepal) size (cm),5.6,3,1.5-4.5,ray florets,
50,Stigma number,5.61,2,,,
51,Stamen number,5.62,5,,fused into a tube,
52,Sepal number,5.63,0,many,sepaloid phyllaries,
53,Carpel/Style number,5.64,1,,,
54,Inflorescence type,5.65,capitulum,,"solitary, 2-5 in a lax, corymbose panicle",
55,Physical defences on leaves,6.02,hispid,,,
56,Physical defences on stems,6.03,hispid,,,
57,Physical defences on flowers/fruits,6.04,hispid,,,
58,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
59,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
60,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
61,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
62,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
63,Ellenberg: pH,7.16,8,,Data calculated for Europe,
64,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
65,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
68,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
69,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
70,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
