,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,,
1,Soil moisture: 2. drainage,1.03,free,,,
2,Salinity,1.05,salt affected,,,
3,Shade,1.1,none,,,
4,Range: 3. continents where native,2.11,N. America,,,
5,Range: 4. continents where introduced,2.12,Africa,,,
6,Range: 4. continents where introduced,2.12,Australasia,,,
7,Range: 4. continents where introduced,2.12,Mediterranean Europe,,,
8,Range: 4. continents where introduced,2.12,S. America,,,
9,Stems: 1. woodiness,3.01,woody,,,
10,Stems: 2. support,3.02,self-supporting,,,
11,Height: 1. extreme maximum (cm),3.03,700,500-900,inflorescence,
12,Height: 3. typical maximum (cm),3.05,200,,lvs only,
13,Spread,3.07,ht = width,,rosette only,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,spines,,,
17,Leaf shape: 3. pointed/round,3.11,acute,,,
18,Leaf shape: 4. length versus breadth,3.12,longer than broad,,,
19,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
20,Leaf shape: 6. petiole,3.14,sessile,,,
21,Response to drought,4.08,resistant,,,
22,Age at first flowering,5.03,10,,,
23,2C DNA content (pg),5.26,13.15,2n=120,,
24,2C DNA content (pg),5.26,6.10,2n=60,,
25,Dispersule size - length of longest axis (mm),5.3,70,60-80,,
26,Seed weight: 3. mean (mg),5.34,8.98,,,
27,Flower colour,5.58,yellow,,,
28,Petal no,5.59,6,,tepals,
29,Petal (sepal) size (cm),5.6,8.5,7-10,,
30,Stigma number,5.61,3,,,
31,Stamen number,5.62,6,,,
32,Sepal number,5.63,0,,,
33,Carpel/Style number,5.64,1,3,,
34,Inflorescence type,5.65,panicle,,"terminal, arborescent",
