,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,,
1,Waterlogging tolerance,1.021,4.27,�,,
2,Shade,1.1,none,-,,
3,Shade tolerance,1.101,1.2,,,
4,Altitude: 1. maximum recorded (m),1.12,1070,-,,
5,Altitude: 1. maximum recorded (m),1.12,900,-,,
6,Altitude: 2. minimum recorded (m),1.13,200,-,,
7,Altitude: 2. minimum recorded (m),1.13,213,-,,
8,Status,2.01,native,-,,
9,Typical abundance where naturally occurring,2.02,scattered,-,,
10,First historical record: 1. date,2.04,1777,-,,
11,First historical record: 2. site,2.05,Scottish Highlands,-,,
12,Range: 3. continents where native,2.11,Europe,-,,
13,SN Index,2.13,7.99,-,,
14,EW Index,2.14,3.49,-,,
15,British distribution (post 1949 records),2.15,68,-,,
16,number of European countries in which native,2.17,12,-,,
17,Stems: 1. woodiness,3.01,woody,-,,
18,Stems: 2. support,3.02,self-supporting,-,,
19,Height: 1. extreme maximum (cm),3.03,150,-,,
20,Height: 2. extreme minimum (cm),3.04,15,-,,
21,Height: 3. typical maximum (cm),3.05,100,-,,
22,Height: 4. typical minimum (cm),3.06,20,-,,
23,Spread,3.07,height = width,,,
24,Heterophylly,3.08,none,-,,
25,Leaf shape: 1. type,3.09,simple,-,,
26,Leaf shape: 2. outline,3.1,entire,-,,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,,
28,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,,
29,Leaf shape: 5. leaf base,3.13,cuneate,,,
30,Leaf shape: 6. petiole,3.14,petiolate,,,
31,Leaf shape: 7. minimum petiole length (mm),3.15,3,,,
32,Leaf shape: 8. maximum petiole length (mm),3.16,8,,,
33,Leaf area (cm2),3.17,1-10,,,
34,Stomata: 1. surfaces present,3.19,both,more on the lower surface,,
35,Leaf longevity: 1. type,3.22,aestival,-,,
36,Photosynthetic pathway,4.02,C3,-,,
37,Heavy metal resistance,4.05,none,-,,
38,Carnivory,4.06,does not kill insects,-,,
39,Nutrition,4.07,autotrophic,-,,
40,Drought Tolerance,4.081,2.21,,,
41,Life-form,5.01,phanerophyte,-,,
42,Mono/poly-carpic,5.04,polycarpic,-,,
43,Flowering time: 1. earliest month,5.07,5,-,,
44,Flowering time: 2. latest month,5.08,7,-,,
45,Pollen vector,5.15,insect,-,,
46,Dicliny,5.16,dioecious,-,,
47,Fertilization,5.19,obligatory cross,-,,
48,Chromosome number(s): 1. number,5.25,38,,,
49,Chromosome number(s): 1. number,5.25,76,,,
50,Seed weight: 3. mean (mg),5.34,0.07304,,,
51,Normal method of propagation,5.52,seed,-,,
52,Flower colour,5.58,green,"silver, yellow",,
53,Petal no,5.59,0,,,
54,Petal (sepal) size (cm),5.6,0,,,
55,Stigma number,5.61,2,,,
56,Stamen number,5.62,2,,,
57,Sepal number,5.63,0,,scales,
58,Carpel/Style number,5.64,1,,,
59,Inflorescence type,5.65,catkin,,,
60,Physical defences on leaves,6.02,soft hairs,-,,
61,Physical defences on stems,6.03,glabrous,hairy at first,,
62,Physical defences on flowers/fruits,6.04,dense hairs,-,,
63,Physical defences on buds,6.05,glabrous,-,,
64,Rarity Status,7.02,Scarce,,,
65,Change Index,7.03,-0.73,,,
66,Biome,7.04,Boreo-Arctic Montane,,,
67,Eastern Limit,7.05,Euro-Siberian,,,
68,Continentality,7.06,Not continental,,,
69,Northern Limit in Britain,7.07,No,,,
70,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
71,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
72,Southern European Limit,7.1,No,,,
73,January mean temperature,7.11,0.20,,,
74,July mean temperature,7.12,11,,,
75,Annual precipitation,7.13,1956,,,
76,Ellenberg Indicator: Light,7.14,8,,,
77,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
79,Ellenberg : Moisture,7.15,6,,,
80,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
81,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
82,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
83,Ellenberg: pH,7.16,6,,,
84,Ellenberg: pH,7.16,,,Data calculated for Europe,
85,Ellenberg Indicator: Nitrogen,7.17,3,,,
86,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
88,Ellenberg Indicator: Salt,7.18,0,,,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
91,Life Form: normal state,7.19,Nanophanerophyte,,,
92,Clonality: normal state,7.21,Little or no vegetative spread,,,
93,Ellenberg: Temperature,7.23,2,,Data calculated for the Czech Republic,
94,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
95,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
