,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,182,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Dynamics,2.03,increasing,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,2.14,-,-,
10,EW Index,2.14,4.19,-,-,
11,number of European countries in which native,2.17,23,-,-,
12,Stems: 1. woodiness,3.01,woody,-,-,
13,Stems: 2. support,3.02,creeping,-,-,
14,Height: 3. typical maximum (cm),3.05,60,-,-,
15,Spread,3.07,height < width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
22,Leaf shape: 5. leaf base,3.13,rounded,-,-,
23,Leaf shape: 5. leaf base,3.13,truncate,-,-,
24,Leaf shape: 6. petiole,3.14,petiolate,-,-,
25,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
26,Leaf shape: 8. maximum petiole length (mm),3.16,3,-,-,
27,Leaf area (cm2),3.17,1-10,-,-,
28,Stomata: 1. surfaces present,3.19,both,-,-,
29,Stomata: 2. density on lower surface(no/mm2),3.2,125,range 87-160,-,
30,Stomata: 3. density on upper surface (no/mm2),3.21,60,range 20-107,-,
31,Leaf longevity: 1. type,3.22,evergreen,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,chamaephyte,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,8,-,-,
41,Pollen: 2. diameter (um),5.13,34,-,-,
42,Pollen vector,5.15,insect,-,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Fertilization,5.19,apomictic,-,-,
45,Chromosome number(s): 1. number,5.25,32,,-,
46,Chromosome number(s): 1. number,5.25,36,,-,
47,Chromosome number(s): 1. number,5.25,43,,-,
48,Chromosome number(s): 1. number,5.25,45,,-,
49,Seed weight: 3. mean (mg),5.34,0.179,,,
50,Seed weight: 3. mean (mg),5.34,0.5,-,-,
51,Dispersal agent,5.38,unspecialised,-,-,
52,Normal method of propagation,5.52,vegetative,-,-,
53,Seedbank type,5.53,long-term persistent,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Seedbank type,5.53,short-term persistent,-,-,
56,Seedbank type,5.53,transient,-,-,
57,Maximum seedbank density (m2),5.54,240,-,-,
58,Minimum seedbank density (m2),5.55,48,-,-,
59,Mean seedbank density (m2),5.56,121,-,-,
60,Flower colour,5.58,yellow,,,
61,Petal no,5.59,5,,,
62,Petal (sepal) size (cm),5.6,1,0.75-1.25,,
63,Stigma number,5.61,1,,,
64,Stamen number,5.62,5,,,
65,Sepal number,5.63,5,,,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,solitary,,axillary,
68,Physical defences on leaves,6.02,glabrous,-,-,
69,Physical defences on leaves,6.02,glandular,-,-,
70,Physical defences on stems,6.03,glabrous,-,-,
71,Rarity Status,7.02,Present,,,
72,Change Index,7.03,-0.02,,,
73,Biome,7.04,Temperate,,,
74,Eastern Limit,7.05,European,,,
75,Continentality,7.06,Not continental,,,
76,Northern Limit in Britain,7.07,No,,,
77,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
78,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
79,Southern European Limit,7.1,No,,,
80,January mean temperature,7.11,3.7,,,
81,July mean temperature,7.12,15.5,,,
82,Annual precipitation,7.13,895,,,
83,Ellenberg Indicator: Light,7.14,4,,Data calculated for Europe,
84,Ellenberg Indicator: Light,7.14,5,,,
85,Ellenberg Indicator: Light,7.14,5x,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,6~,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,7,,,
88,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
89,Ellenberg: pH,7.16,5,,,
90,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,5,,,
93,Ellenberg Indicator: Nitrogen,7.17,6x,,Data calculated for the Czech Republic,
94,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
95,Ellenberg Indicator: Salt,7.18,0,,,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
98,Life Form: normal state,7.19,Hemicryptophyte,,,
99,Life Form: less frequent state,7.2,Chamaephyte,,,
100,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
101,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
102,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
103,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
