,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,-,
1,Waterlogging tolerance,1.021,1.65,�0.06,,
2,Shade,1.1,light,-,-,
3,Shade,1.1,mid,-,-,
4,Shade,1.1,none,-,-,
5,Shade tolerance,1.101,3.97,�0.12,,
6,Altitude: 1. maximum recorded (m),1.12,275,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,frequent,-,-,
9,First historical record: 1. date,2.04,1597,-,-,
10,First historical record: 2. site,2.05,Northamptonshire & Kent,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,2.4,-,-,
14,EW Index,2.14,4.04,-,-,
15,number of European countries in which native,2.17,21,-,-,
16,Stems: 1. woodiness,3.01,woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 1. extreme maximum (cm),3.03,3000,-,-,
19,Height: 3. typical maximum (cm),3.05,3000,-,-,
20,Height: 4. typical minimum (cm),3.06,600,-,-,
21,Spread,3.07,height > width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,toothed,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,cordate,,-,
28,Leaf shape: 5. leaf base,3.13,rounded,,-,
29,Leaf shape: 6. petiole,3.14,petiolate,,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,5,,-,
31,Leaf shape: 8. maximum petiole length (mm),3.16,15,,-,
32,Leaf area (cm2),3.17,10-100,,-,
33,Stomata: 1. surfaces present,3.19,both,-,-,
34,Stomata: 1. surfaces present,3.19,both,,,
35,Stomata: 2. density on lower surface(no/mm2),3.2,160,-,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,92,,,
37,Stomata: 3. density on upper surface (no/mm2),3.21,0.5,range 0-1,-,
38,Stomata: 3. density on upper surface (no/mm2),3.21,68,,,
39,"Stomata 4: density, surface indeterminate (no/mm2)",3.2110000000000003,125,� 10,,
40,Leaf longevity: 1. type,3.22,aestival,-,-,
41,Root depth: 1. type,3.25,shallow,-,-,
42,Max. Stem Diameter (mm),3.34,1000,,,
43,Photosynthetic pathway,4.02,C3,-,-,
44,Mature leaf P concentration (mg/g),4.04,1-2,,-,
45,Heavy metal resistance,4.05,none,-,-,
46,Carnivory,4.06,does not kill insects,-,-,
