,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,548,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,Dynamics,2.03,increasing,-,-,
9,Dynamics,2.03,increasing,-,-,
10,First historical record: 1. date,2.04,1538,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 4. continents where introduced,2.12,Australasia,-,-,
14,Range: 4. continents where introduced,2.12,North America,-,-,
15,Range: 4. continents where introduced,2.12,South America,-,-,
16,SN Index,2.13,3.02,-,-,
17,EW Index,2.14,4.67,-,-,
18,number of European countries in which native,2.17,34,-,-,
19,Medicinal Use,2.18,nosebleed,,,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,self-supporting,-,-,
22,Height: 3. typical maximum (cm),3.05,200,-,-,
23,Spread,3.07,height < width,-,-,
24,Heterophylly,3.08,developmental,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
28,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
30,Leaf shape: 6. petiole,3.14,subsessile,-,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
32,Leaf shape: 8. maximum petiole length (mm),3.16,4,-,-,
33,Leaf area (cm2),3.17,1-10,-,-,
34,Stomata: 1. surfaces present,3.19,both,-,-,
35,Stomata: 2. density on lower surface(no/mm2),3.2,144,-,-,
36,Stomata: 3. density on upper surface (no/mm2),3.21,106,-,-,
37,Leaf longevity: 1. type,3.22,aestival,-,-,
38,Root system,3.24,tap root,-,-,
39,Root depth: 1. type,3.25,deep,-,-,
40,Fine root diameter (um),3.27,<100,-,-,
41,Seedling growth rate - maximum (/d),4.01,0.204,-,-,
42,Photosynthetic pathway,4.02,C3,-,-,
43,Heavy metal resistance,4.05,none,-,-,
44,Carnivory,4.06,does not kill insects,-,-,
45,Nutrition,4.07,autotrophic,-,-,
46,Rgr max,4.12,1.43,�0.06,,
47,rgr,4.13,1.43,�0.06,,
48,Life-form,5.01,therophyte,-,-,
49,Longevity of stems (yrs),5.02,<1,-,-,
50,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
51,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
52,Flowering time: 1. earliest month,5.07,7,-,-,
53,Flowering time: 2. latest month,5.08,10,-,-,
54,Pollen vector,5.15,selfed,-,-,
55,Dicliny,5.16,hermaphrodite,-,-,
56,Dichogamy,5.17,homogamous,-,-,
57,Fertilization,5.19,normally self,-,-,
58,Cleistogamy,5.2,some cleistogamous flowers,-,-,
59,Incompatibility systems,5.22,none,-,-,
60,Chromosome number(s): 1. number,5.25,60,-,-,
61,2C DNA content (pg),5.26,1.3,-,-,
62,2C DNA content (pg),5.26,1.7,2n=40,,
63,Time of seed dispersal (season),5.28,autumn,-November,-,
64,Time of seed dispersal (season),5.28,summer,-,-,
65,Dispersule size - length of longest axis (mm),5.3,3.8,nut,-,
66,Seed size - length of longest axis (mm),5.31,3.8,nut,-,
67,Seed weight: 3. mean (mg),5.34,1.3,,,
68,Seed weight: 3. mean (mg),5.34,1.69,-,-,
69,Dispersal agent,5.38,man,contaminant of crop seeds,-,
70,Dispersal agent,5.38,unspecialised,-,-,
71,Time of germination (season),5.39,spring,-,-,
72,Germination requirements 1. chilling,5.45,absolute,-,-,
73,Germination type,5.48,epigeal,-,-,
74,Seedbank density: recorded values,5.51,6060,in arable land,-,
75,Normal method of propagation,5.52,seed,-,-,
76,Seedbank type,5.53,long-term persistent,-,-,
77,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
78,Seedbank type,5.53,short-term persistent,-,-,
79,Seedbank type,5.53,transient,-,-,
80,Maximum seedbank density (m2),5.54,10130,-,-,
81,Minimum seedbank density (m2),5.55,2,-,-,
82,Mean seedbank density (m2),5.56,479,-,-,
83,Flower colour,5.58,pink,white,margins,
84,Petal no,5.59,5,,,
85,Petal (sepal) size (cm),5.6,0.3,0.25-0.35,,
86,Stigma number,5.61,0,,,
87,Stamen number,5.62,8,,,
88,Sepal number,5.63,0,,monochlamydeous,
89,Carpel/Style number,5.64,3,,,
90,Physical defences on leaves,6.02,glabrous,-,-,
91,Physical defences on stems,6.03,glabrous,-,-,
92,Rarity Status,7.02,Present,,,
93,Biome,7.04,Wide Temperate,,,
94,Eastern Limit,7.05,Circumpolar,,,
95,Continentality,7.06,Not continental,,,
96,Northern Limit in Britain,7.07,No,,,
97,"Northern European Limit (Lat,5C band)",7.08,>65,,,
98,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
99,Southern European Limit,7.1,No,,,
100,January mean temperature,7.11,3.7,,,
101,July mean temperature,7.12,15,,,
102,Annual precipitation,7.13,1039,,,
103,Ellenberg Indicator: Light,7.14,7,,,
104,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
105,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
106,Ellenberg : Moisture,7.15,5,,,
107,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
108,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
109,Ellenberg: pH,7.16,6,,,
110,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
111,Ellenberg: pH,7.16,,,Data calculated for Europe,
112,Ellenberg Indicator: Nitrogen,7.17,7,,,
113,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
114,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
115,Ellenberg Indicator: Salt,7.18,0,,,
116,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
117,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
118,Life Form: normal state,7.19,Therophyte,,,
119,Clonality: normal state,7.21,Little or no vegetative spread,,,
120,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
121,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
122,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
