,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Salinity,1.05,brackish,-,-,
3,Salinity,1.05,fresh,-,-,
4,Soil pH: 3. typical maximum,1.08,7.2,-,-,
5,Soil pH: 4. typical minimum,1.09,4.8,-,-,
6,Shade,1.1,none,-,-,
7,Altitude: 1. maximum recorded (m),1.12,30,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Status,2.01,native,-,-,
11,First historical record: 1. date,2.04,1684,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 3. continents where native,2.11,North America,-,-,
15,Range: 4. continents where introduced,2.12,Australasia,-,-,
16,SN Index,2.13,8.05,-,-,
17,EW Index,2.14,6.66,-,-,
18,number of European countries in which native,2.17,8,-,-,
19,Medicinal Use,2.18,flatulence,,,
20,Medicinal Use,2.18,prevents infection,,,
21,Medicinal Use,2.18,sedative,,,
22,Stems: 1. woodiness,3.01,non-woody,-,-,
23,Stems: 2. support,3.02,self-supporting,-,-,
24,Height: 3. typical maximum (cm),3.05,90,-,-,
25,Height: 4. typical minimum (cm),3.06,15,-,-,
26,Spread,3.07,height = width,-,-,
27,Heterophylly,3.08,none,-,-,
28,Leaf shape: 1. type,3.09,compound,-,-,
29,Leaf shape: 2. outline,3.1,toothed,-,-,
30,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
31,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
32,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
33,Leaf shape: 6. petiole,3.14,petiolate,-,-,
34,Leaf area (cm2),3.17,10-100,-,-,
35,Stomata: 1. surfaces present,3.19,lower,-,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,210,-,-,
37,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
38,Root system,3.24,fibrous,-,-,
39,Root depth: 2. depth (cm),3.26,10-50,-,-,
40,Photosynthetic pathway,4.02,C3,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Response to drought,4.08,wilts and dies,especially seedlings and small plants,-,
45,Response to frost (non-woody tissue),4.09,resistant,-,-,
46,Response to frost (seedlings),4.1,resistant,-,-,
47,Life-form,5.01,hemicryptophyte,-,-,
48,Longevity of stems (yrs),5.02,<1,-,-,
49,Age at first flowering,5.03,1-2 yrs,-,-,
50,Mono/poly-carpic,5.04,polycarpic,-,-,
51,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
52,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
53,Flowering time: 1. earliest month,5.07,6,-,-,
54,Flowering time: 2. latest month,5.08,9,-,-,
55,Pollen vector,5.15,insect,-,-,
56,Dicliny,5.16,hermaphrodite,-,-,
57,Cleistogamy,5.2,cleistogamy not recorded,-,-,
58,Chromosome number(s): 1. number,5.25,22,,-,
59,Time of seed dispersal (season),5.28,autumn,-,-,
60,Annual seed dispersal,5.29,regular,-,-,
61,Dispersule size - length of longest axis (mm),5.3,6.0,fruit,-,
62,Seed weight: 3. mean (mg),5.34,5.052,,,
63,Seed production: 1. maximum (/flower),5.35,2,-,-,
64,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
65,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
66,Dispersal agent,5.38,water,-,-,
67,Dispersal agent,5.38,wind,-,-,
68,Time of germination (season),5.39,spring,-,-,
69,Germination requirements 1. chilling,5.45,absolute,-,-,
70,Germination requirements 2. light,5.46,none,-,-,
71,Germination type,5.48,epigeal,-,-,
72,Seed viability,5.49,some non-viable,-,-,
73,Normal method of propagation,5.52,seed,-,-,
74,Flower colour,5.58,white,"yellow, green, pink",,
75,Petal no,5.59,5,,,
76,Petal (sepal) size (cm),5.6,0.1,,,
77,Stigma number,5.61,1,,stylopodium,
78,Stamen number,5.62,5,,,
79,Sepal number,5.63,5,,minute or 0,
80,Carpel/Style number,5.64,2,,,
81,Inflorescence type,5.65,umbel,,,
82,Physical defences on leaves,6.02,glabrous,-,-,
83,Physical defences on stems,6.03,glabrous,-,-,
84,Rarity Status,7.02,Present,,,
85,Change Index,7.03,-0.29,,,
86,Biome,7.04,Boreo-Arctic Montane,,,
87,Eastern Limit,7.05,European,,,
88,Continentality,7.06,Not continental,,,
89,Northern Limit in Britain,7.07,No,,,
90,"Northern European Limit (Lat,5C band)",7.08,>65,,,
91,"Southern European Limit (Latitude, 5C band)",7.09,50-55,,,
92,Southern European Limit,7.1,Yes,,,
93,January mean temperature,7.11,3.8,,,
94,July mean temperature,7.12,13,,,
95,Annual precipitation,7.13,1293,,,
96,Ellenberg Indicator: Light,7.14,8,,,
97,Ellenberg : Moisture,7.15,6,,,
98,Ellenberg: pH,7.16,7,,,
99,Ellenberg Indicator: Nitrogen,7.17,5,,,
100,Ellenberg Indicator: Salt,7.18,3,,,
101,Life Form: normal state,7.19,Hemicryptophyte,,,
102,Clonality: normal state,7.21,Little or no vegetative spread,,,
