,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Soil moisture: 1. water table,1.02,permanently high,-,-,
4,Salinity,1.05,fresh,-,-,
5,Salinity,1.05,salt-affected,-,-,
6,Soil pH: 1. extreme maximum,1.06,6.86,-,-,
7,Water pH: 1. extreme maximum,1.06A,6.69,-,-,
8,Soil pH: 2. extreme minimum,1.07,5.28,-,-,
9,Water pH: 2. extreme minimum,1.07A,5.07,-,-,
10,Shade,1.10,none,-,-,
11,Shade,1.10,none,-,-,
12,Altitude: 1. maximum recorded (m),1.12,463,-,-,
13,Altitude: 2. minimum recorded (m),1.13,0,-,-,
14,Altitude: 4. typical minimum (m),1.14,0,-,-,
15,Flow,1.15A,mid,-,-,
16,Flow,1.15A,nil,-,-,
17,Flow,1.15A,slight,-,-,
18,Status,2.01,native,-,-,
19,Typical abundance where naturally occurring,2.02,dominant,-,-,
20,Dynamics,2.03,declining,probably,-,
21,First historical record: 1. date,2.04,1633,-,-,
22,Range: 3. continents where native,2.11,Africa,-,-,
23,Range: 3. continents where native,2.11,Asia,-,-,
24,Range: 3. continents where native,2.11,Europe,-,-,
25,Range: 3. continents where native,2.11,North America,-,-,
26,SN Index,2.13,3.95,-,-,
27,EW Index,2.14,4.48,-,-,
28,number of European countries in which native,2.17,33,-,-,
29,Stems: 1. woodiness,3.01,non-woody,-,-,
30,Stems: 2. support,3.02,self-supporting,-,-,
31,Height: 1. extreme maximum (cm),3.03,100,-,-,
32,Height: 1. extreme maximum (cm),3.03,150,,,
33,Height: 3. typical maximum (cm),3.05,60,-,-,
34,Height: 4. typical minimum (cm),3.06,10,-,-,
35,Spread,3.07,height = width,-,-,
36,Heterophylly,3.08,not applicable,no leaves,-,
37,Leaf shape: 1. type,3.09,absent,-,-,
38,Leaf shape: 2. outline,3.10,not applicable,no leaves,-,
39,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
40,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
41,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
42,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
43,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
44,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
45,Leaf longevity: 1. type,3.22,aestival,-,-,
46,Root system,3.24,adventitious,-,-,
47,Root depth: 1. type,3.25,shallow,-,-,
48,Photosynthetic pathway,4.02,C3,-,-,
49,Heavy metal resistance,4.05,none,-,-,
50,Carnivory,4.06,does not kill insects,-,-,
51,Nutrition,4.07,autotrophic,-,-,
52,Response to frost (non-woody tissue),4.09,very resistant,-,-,
53,Life-form,5.01,helophyte,-,-,
54,Longevity of stems (yrs),5.02,<1,-,-,
