,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,infertile,,,
2,Soil moisture: 2. drainage,1.03,free draining,,,
3,Shade,1.1,none,,,
4,Stems: 1. woodiness,3.01,non woody,,,
5,Stems: 2. support,3.02,self supporting,,,
6,Height: 3. typical maximum (cm),3.05,120,,,
7,Heterophylly,3.08,none,,,
8,Leaf shape: 1. type,3.09,compound,,pinnatisect,
9,Leaf shape: 2. outline,3.1,toothed,,,
10,Leaf shape: 3. pointed/round,3.11,pointed,,,
11,Leaf shape: 4. length versus breadth,3.12,length > breadth,,,
12,Leaf shape: 5. leaf base,3.13,narrowed,,,
13,Leaf shape: 6. petiole,3.14,petiolate,,winged,
14,Carnivory,4.06,does not kill insects,,,
15,Nutrition,4.07,autotrophic,,,
16,Life-form,5.01,Chamaephyte,herbaceous,,
17,Mono/poly-carpic,5.04,patch,,,
18,Mono/poly-carpic,5.04,polycarpic,,,
19,Vegetative reproduction/persistence: 1. method,5.05,stolons,,,
20,Chromosome number(s): 1. number,5.25,54,,,
21,2C DNA content (pg),5.26,17.50,2n=54,,
22,Appendages on dispersal unit,5.27,none,,,
23,Seed size - length of longest axis (mm),5.31,1.5,,,
24,Seed weight: 3. mean (mg),5.34,0.152,,,
25,Seed weight: 3. mean (mg),5.34,0.396,,-,
26,Flower colour,5.58,white,cream,disk florets,
27,Flower colour,5.58,white,"pink, red",ray florets,
28,Petal no,5.59,5,many,flowers mistaken for petals,
29,Stigma number,5.61,2,,,
30,Stamen number,5.62,5,,fused into a tube,
31,Sepal number,5.63,0,many,sepaloid phyllaries,
32,Carpel/Style number,5.64,1,,,
33,Inflorescence type,5.65,capitulum,,dense terminal corymb,
