,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Water nutrients,1.01A,oligotrophic,-,-,
4,Salinity,1.05,fresh,-,-,
5,Shade,1.10,none,,-,
6,Maximum depth of leaves,1.10A,>0.5m,-,-,
7,Altitude: 1. maximum recorded (m),1.12,228,-,-,
8,Flow,1.15A,mid,-,-,
9,Flow,1.15A,nil,-,-,
10,Flow,1.15A,slight,-,-,
11,Status,2.01,native,-,-,
12,Typical abundance where naturally occurring,2.02,dominant,locally,-,
13,Dynamics,2.03,declining,at Wicken Fen,-,
14,Dynamics,2.03,declining,-,-,
15,First historical record: 1. date,2.04,1677,-,-,
16,First historical record: 2. site,2.05,"Binsney, Oxon.",-,-,
17,Range: 3. continents where native,2.11,Asia,-,-,
18,Range: 3. continents where native,2.11,Europe,-,-,
19,Range: 3. continents where native,2.11,North America,-,-,
20,Range: 3. continents where native,2.11,South America,-,-,
21,Range: 4. continents where introduced,2.12,Australasia,New Zealand,-,
22,SN Index,2.13,3.45,-,-,
23,EW Index,2.14,3.9,-,-,
24,number of European countries in which native,2.17,26,-,-,
25,Stems: 1. woodiness,3.01,non-woody,-,-,
26,Stems: 2. support,3.02,self-supporting,-,-,
27,Height: 3. typical maximum (cm),3.05,10,-,-,
28,Height: 4. typical minimum (cm),3.06,2,-,-,
29,Spread,3.07,height = width,-,-,
30,Heterophylly,3.08,not applicable,no leaves,-,
31,Leaf shape: 1. type,3.09,absent,-,-,
32,Leaf shape: 2. outline,3.10,not applicable,no leaves,-,
33,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
34,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
35,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
36,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
37,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
38,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
39,Root system,3.24,adventitious,,-,
40,Photosynthetic pathway,4.02,C3,-,-,
41,Heavy metal resistance,4.05,none,-,-,
42,Carnivory,4.06,does not kill insects,-,-,
43,Nutrition,4.07,autotrophic,-,-,
44,Response to frost (non-woody tissue),4.09,sensitive,terrestrial plants,-,
45,Life-form,5.01,helophyte,-,-,
46,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
47,Flowering time: 1. earliest month,5.07,8,-,-,
48,Flowering time: 2. latest month,5.08,10,-,-,
49,Pollen vector,5.15,wind,-,-,
50,Dicliny,5.16,hermaphrodite,-,-,
51,Chromosome number(s): 1. number,5.25,20,,-,
52,2C DNA content (pg),5.26,2.47,2n=20,,
53,Annual seed dispersal,5.29,irregular,,-,
54,Seed size - length of longest axis (mm),5.31,1.0,nut,-,
55,Seed weight: 3. mean (mg),5.34,0.044,,,
56,Seed weight: 3. mean (mg),5.34,0.135,,,
57,Time of germination (season),5.39,spring,late,-,
58,Time of germination (season),5.39,summer,,-,
59,Germination requirements 1. chilling,5.45,partial,,-,
60,Normal method of propagation,5.52,vegetative,,-,
61,Seedbank type,5.53,short-term persistent,-,-,
62,Seedbank type,5.53,transient,-,-,
63,Maximum seedbank density (m2),5.54,97,-,-,
64,Minimum seedbank density (m2),5.55,97,-,-,
65,Mean seedbank density (m2),5.56,97,-,-,
66,Flower colour,5.58,red-brown,,,
67,Petal no,5.59,6,,"bristles, deciduous",
68,Petal (sepal) size (cm),5.60,0,,,
69,Stigma number,5.61,3,,,
70,Stamen number,5.62,3,,,
71,Sepal number,5.63,0,,,
72,Carpel/Style number,5.64,1,,swollen base,
73,Inflorescence type,5.65,spikelet,,solitary,
74,"Glume, upper",5.66,0.2,,,
75,Physical defences on stems,6.03,glabrous,-,-,
76,Rarity Status,7.02,Present,,,
77,Change Index,7.03,-0.11,,,
78,Biome,7.04,Boreo-Temperate,,,
79,Eastern Limit,7.05,Circumpolar,,,
80,Continentality,7.06,Not continental,,,
81,Northern Limit in Britain,7.07,No,,,
82,"Northern European Limit (Lat,5C band)",7.08,>65,,,
83,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
84,Southern European Limit,7.10,No,,,
85,January mean temperature,7.11,3.6,,,
86,July mean temperature,7.12,15,,,
87,Annual precipitation,7.13,924,,,
88,Ellenberg Indicator: Light,7.14,7,,,
89,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
90,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
91,Ellenberg : Moisture,7.15,10,,,
92,Ellenberg : Moisture,7.15,10,,Data calculated for the Czech Republic,
93,Ellenberg : Moisture,7.15,10,,Data calculated for Europe,
94,Ellenberg: pH,7.16,5x,,Data calculated for the Czech Republic,
95,Ellenberg: pH,7.16,7,,,
96,Ellenberg: pH,7.16,,,Data calculated for Europe,
97,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
98,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
99,Ellenberg Indicator: Nitrogen,7.17,5,,,
100,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
101,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
102,Ellenberg Indicator: Salt,7.18,1,,,
