,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Shade,1.1,light,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,610,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1670,-,-,
11,First historical record: 2. site,2.05,Mt.Snowdon,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,7.48,-,-,
14,EW Index,2.14,5.37,-,-,
15,number of European countries in which native,2.17,21,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,30,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height > width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sheathing,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,geophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Age at first flowering,5.03,2-5 yrs,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,7,-,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Fertilization,5.19,cross and self,-,-,
44,Chromosome number(s): 1. number,5.25,42,,-,
45,Time of seed dispersal (season),5.28,summer,-,-,
46,Seed weight: 3. mean (mg),5.34,0.00195,,,
47,Normal method of propagation,5.52,seed,-,-,
48,Flower colour,5.58,white,,,
49,Petal no,5.59,6,,tepals,
50,Petal (sepal) size (cm),5.6,0.3,0.2-0.4,vertical,
51,Stigma number,5.61,3,,,
52,Stamen number,5.62,1,,,
53,Sepal number,5.63,0,,tepals,
54,Carpel/Style number,5.64,0,,,
55,Inflorescence type,5.65,spicate raceme,,"terminal, dense, cylindrical",
56,Physical defences on stems,6.03,glabrous,-,-,
57,Rarity Status,7.02,Present,,,
58,Change Index,7.03,-0.88,,,
59,Biome,7.04,Boreal montane,,,
60,Eastern Limit,7.05,European,,,
61,Continentality,7.06,Not continental,,,
62,Northern Limit in Britain,7.07,No,,,
63,Southern European Limit,7.1,No Data,,,
64,January mean temperature,7.11,2.6,,,
65,July mean temperature,7.12,13,,,
66,Annual precipitation,7.13,1534,,,
67,Ellenberg Indicator: Light,7.14,8,,,
68,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
69,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
70,Ellenberg : Moisture,7.15,5,,,
71,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
72,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
73,Ellenberg: pH,7.16,2,,Data calculated for Europe,
74,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
75,Ellenberg: pH,7.16,6,,,
76,Ellenberg Indicator: Nitrogen,7.17,2,,,
77,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
79,Ellenberg Indicator: Salt,7.18,0,,,
80,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
82,Life Form: normal state,7.19,Non-bulbous geophyte,,,
83,Clonality: normal state,7.21,Little or no vegetative spread,,,
84,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
85,Ellenberg: Temperature,7.23,4,,Data calculated for Europe,
86,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
